rank	count	TAXON_URI
3=	1	http://biodiversity.org.au/afd.taxon/02281aee-4f11-4ad1-8d86-00cfbe71ee2e
3=	1	http://biodiversity.org.au/afd.taxon/0228450d-768d-4114-abb3-83f38a1afb67
3=	1	http://biodiversity.org.au/afd.taxon/022b987a-d201-46ef-9fad-fb22b3aba1a2
3=	1	http://biodiversity.org.au/afd.taxon/02330b8f-3ffc-49f8-b40b-f6477c432d5a
3=	1	http://biodiversity.org.au/afd.taxon/02343e1f-9826-4e5f-a61c-31ac6325097d
3=	1	http://biodiversity.org.au/afd.taxon/023abaae-5c69-4102-839e-4e81f1f60b25
3=	1	http://biodiversity.org.au/afd.taxon/023ba0a8-22a1-40af-b796-9af8925ca675
3=	1	http://biodiversity.org.au/afd.taxon/0241ac29-a365-4a3f-b23c-778d2c87bba8
3=	1	http://biodiversity.org.au/afd.taxon/0241e7e1-0203-4046-ba82-bb06a85f8b33
3=	1	http://biodiversity.org.au/afd.taxon/024931a2-3fd0-4122-b43f-a226a95cc1a0
3=	1	http://biodiversity.org.au/afd.taxon/02535042-8405-4918-965b-1570b3c16bfa
3=	1	http://biodiversity.org.au/afd.taxon/025441e5-1d75-4f58-917a-27135ce6e17c
3=	1	http://biodiversity.org.au/afd.taxon/02545d1f-6f17-40c2-bc7c-c9226513bb07
3=	1	http://biodiversity.org.au/afd.taxon/02588988-52e5-49a0-94e2-dca14f91c0cd
3=	1	http://biodiversity.org.au/afd.taxon/025fee2c-b86c-4e24-a805-b8dc1d6bfa71
3=	1	http://biodiversity.org.au/afd.taxon/026390f3-5092-4377-84e5-52b5ea86f371
3=	1	http://biodiversity.org.au/afd.taxon/0263a3b4-2af6-4649-ab1c-c0c0159f9f21
3=	1	http://biodiversity.org.au/afd.taxon/02653fbc-9660-4576-8bcb-164b0bc4c7f8
3=	1	http://biodiversity.org.au/afd.taxon/026559da-dfd0-4afc-9fab-76a61841e66e
3=	1	http://biodiversity.org.au/afd.taxon/02664b98-f12a-4b24-a53d-945f42c859f0
3=	1	http://biodiversity.org.au/afd.taxon/0267cc10-1bb4-4fcc-83e7-afda3f660501
3=	1	http://biodiversity.org.au/afd.taxon/026885a5-1ae6-431b-ac4d-e7e185bd7e77
3=	1	http://biodiversity.org.au/afd.taxon/026a423c-141f-455e-b6a3-16a9303024f8
3=	1	http://biodiversity.org.au/afd.taxon/026a6666-bdd5-44ec-a32e-bd786dd8f0a2
3=	1	http://biodiversity.org.au/afd.taxon/027047a2-b231-4388-89c1-b09956987277
3=	1	http://biodiversity.org.au/afd.taxon/02711fe3-84d1-4dbc-bd35-aeb54dd06b78
3=	1	http://biodiversity.org.au/afd.taxon/027266fb-a8d8-4926-a83e-578129718516
3=	1	http://biodiversity.org.au/afd.taxon/02754856-b77b-466f-8a9c-8eff52190580
3=	1	http://biodiversity.org.au/afd.taxon/0275b833-a4fd-44da-81e5-03b5aa550da2
3=	1	http://biodiversity.org.au/afd.taxon/02783c8b-2050-419c-ac77-cbd37cbfd754
3=	1	http://biodiversity.org.au/afd.taxon/027be3a8-5e44-48dd-bc54-a6a6ed11ed2e
3=	1	http://biodiversity.org.au/afd.taxon/027cacf7-52a3-40a4-86d7-f72e231c33f4
3=	1	http://biodiversity.org.au/afd.taxon/027ccc60-00aa-463c-851c-2af5dcede40e
3=	1	http://biodiversity.org.au/afd.taxon/027dae8c-b45e-4195-a513-7c0d1758bacc
3=	1	http://biodiversity.org.au/afd.taxon/027e4705-d382-478a-817b-18ac22126f56
3=	1	http://biodiversity.org.au/afd.taxon/0283158d-e17f-44ec-bfb9-1a7a30bdac08
3=	1	http://biodiversity.org.au/afd.taxon/0287960d-73f3-4e2d-a3d3-4455219e47be
3=	1	http://biodiversity.org.au/afd.taxon/028b8234-3d5d-4220-951b-ef118ec1cac9
3=	1	http://biodiversity.org.au/afd.taxon/028f9f19-03d4-4f61-82c2-baa6513c0d1c
3=	1	http://biodiversity.org.au/afd.taxon/02900655-2d02-43bf-9dcd-7d5e706c7dc0
3=	1	http://biodiversity.org.au/afd.taxon/029422de-c0a9-467c-b329-058d0149716f
3=	1	http://biodiversity.org.au/afd.taxon/0297b413-58e7-460a-8430-12982abdbeed
3=	1	http://biodiversity.org.au/afd.taxon/0298846a-6e85-4878-b764-92bb8151391a
3=	1	http://biodiversity.org.au/afd.taxon/029e46be-9405-4d57-8b53-811eefb2eeda
3=	1	http://biodiversity.org.au/afd.taxon/029ea784-cb61-4bf9-bfa7-2946bafa479c
3=	1	http://biodiversity.org.au/afd.taxon/02a46f72-269b-4008-9a8e-a598afc16331
3=	1	http://biodiversity.org.au/afd.taxon/02aa90b7-79ba-417a-a816-d9c834782da7
3=	1	http://biodiversity.org.au/afd.taxon/02ada98d-783b-4d0c-a694-838fc9e7e78a
3=	1	http://biodiversity.org.au/afd.taxon/02b0b46d-8a60-4b04-b7a5-cbceb987de9e
3=	1	http://biodiversity.org.au/afd.taxon/02b19c5a-e527-40b0-bd02-ce73b4e8f676
3=	1	http://biodiversity.org.au/afd.taxon/02b229ae-aba8-4fa2-a9a2-634a23841cd9
3=	1	http://biodiversity.org.au/afd.taxon/02b5eb6e-9aad-4a57-8ce8-51c7e5803d86
3=	1	http://biodiversity.org.au/afd.taxon/02bb59ec-dc18-4164-8ec5-1f15e911febb
3=	1	http://biodiversity.org.au/afd.taxon/02bd6a99-a385-4c58-ba77-0e9a88298ed9
3=	1	http://biodiversity.org.au/afd.taxon/02c3e045-bea4-4d40-95df-dd1d521422f7
3=	1	http://biodiversity.org.au/afd.taxon/02caa221-4936-4f75-9aa6-6fbfcdbb9107
3=	1	http://biodiversity.org.au/afd.taxon/02cdf2b6-40e7-4bda-a0a2-166ab302426b
3=	1	http://biodiversity.org.au/afd.taxon/02ce61db-4351-4380-9f05-cb408dd88792
3=	1	http://biodiversity.org.au/afd.taxon/02ceb51d-ffbf-4e7b-858c-928d8012c9ca
3=	1	http://biodiversity.org.au/afd.taxon/02d223e1-c4c8-458b-81a7-075ac0725d49
3=	1	http://biodiversity.org.au/afd.taxon/02d3ad93-c9d7-49bc-ba5d-2a78ef57ef5e
3=	1	http://biodiversity.org.au/afd.taxon/02d63349-896c-43fa-9d5c-f9dbe0021c00
3=	1	http://biodiversity.org.au/afd.taxon/02d84d30-4382-4efa-b55f-8bc1f480ddc9
3=	1	http://biodiversity.org.au/afd.taxon/02d9cef6-280c-433a-a77b-3d3fca160d6c
3=	1	http://biodiversity.org.au/afd.taxon/02dbeb11-050f-4c22-bebd-5d9342fbefd8
3=	1	http://biodiversity.org.au/afd.taxon/02dd5af1-9306-4e36-a0d6-ff64cb3c5461
3=	1	http://biodiversity.org.au/afd.taxon/02de769b-241f-45f9-9fe6-503725edb726
3=	1	http://biodiversity.org.au/afd.taxon/02deab52-5bf9-46c2-88ea-4dd024460c95
3=	1	http://biodiversity.org.au/afd.taxon/02e1456c-59da-4a1f-84ff-e5d1620b7f90
3=	1	http://biodiversity.org.au/afd.taxon/02e2a76c-953d-46c9-baa8-65216e8a3482
3=	1	http://biodiversity.org.au/afd.taxon/02e8828a-6709-47ff-bf43-57fec23b3f1a
3=	1	http://biodiversity.org.au/afd.taxon/02e92d0a-d224-48ec-a06b-34b3da044d34
3=	1	http://biodiversity.org.au/afd.taxon/02ece572-920d-4a86-8270-c9506cd976d6
3=	1	http://biodiversity.org.au/afd.taxon/02ef73bb-e998-4711-bb7a-783c7be53c37
3=	1	http://biodiversity.org.au/afd.taxon/02f15e22-000a-4c4f-bcb1-ec8215d88d66
3=	1	http://biodiversity.org.au/afd.taxon/02f38d33-ba82-4156-8af4-36c5baeee73d
3=	1	http://biodiversity.org.au/afd.taxon/02f913e0-c2a9-4df8-bf6c-f6b3f92bc57e
3=	1	http://biodiversity.org.au/afd.taxon/0303ade6-b354-4272-a5c5-d4ca36a9da46
3=	1	http://biodiversity.org.au/afd.taxon/03047071-b355-4551-8536-0640404c6787
3=	1	http://biodiversity.org.au/afd.taxon/0306f5c0-d7a3-4125-936a-2be877dc30d9
3=	1	http://biodiversity.org.au/afd.taxon/0307bb8b-4102-4719-95b9-f40f5bfc9331
3=	1	http://biodiversity.org.au/afd.taxon/03092d71-2b56-4aeb-8150-0c0bd68d4d02
3=	1	http://biodiversity.org.au/afd.taxon/030a492c-f197-4751-af5b-9034dff3c621
