rank	count	Latitude
891=	8	-18.17575
891=	8	-18.21138
891=	8	-18.98536
891=	8	-19.51921
891=	8	-19.56600
891=	8	-20.22244
891=	8	-20.25000
891=	8	-21.13500
891=	8	-22.03333
891=	8	-22.30670
891=	8	-24.46768
891=	8	-24.58944
891=	8	-26.96666
891=	8	-27.40133
891=	8	-27.51000
891=	8	-28.25618
891=	8	-28.66666
891=	8	-28.84055
891=	8	-29.18225
891=	8	-29.23719
891=	8	-29.94485
891=	8	-29.97680
891=	8	-30.06972
891=	8	-30.33334
891=	8	-30.33726
891=	8	-30.43369
891=	8	-30.43488
891=	8	-30.45700
891=	8	-30.91710
891=	8	-31.08333
891=	8	-31.50847
891=	8	-31.64343
891=	8	-31.89000
891=	8	-32.21000
891=	8	-32.58300
891=	8	-32.65561
891=	8	-32.84500
891=	8	-32.88361
891=	8	-33.09222
891=	8	-33.20722
891=	8	-33.48333
891=	8	-33.79166
891=	8	-33.89444
891=	8	-34.10200
891=	8	-34.13200
891=	8	-34.72700
891=	8	-34.88200
891=	8	-34.97404
891=	8	-35.21000
891=	8	-35.64800
891=	8	-36.41500
891=	8	-36.45001
891=	8	-4.80670
891=	8	-41.27618
891=	8	-41.29555
891=	8	-5.26667
891=	8	-6.23300
891=	8	-6.81361
891=	8	-7.93799
891=	8	-8.97615
891=	8	-9.42805
891=	8	-9.43028
891=	8	1.24956
891=	8	3.71412
970=	7	-12.83330
970=	7	-13.75000
970=	7	-14.41800
970=	7	-14.46700
970=	7	-15.02056
970=	7	-15.58817
970=	7	-16.92444
970=	7	-17.21667
970=	7	-17.26670
970=	7	-17.36150
970=	7	-17.58390
970=	7	-17.60000
970=	7	-17.78300
970=	7	-20.48651
970=	7	-20.53368
970=	7	-21.55735
970=	7	-22.56388
970=	7	-22.74513
970=	7	-23.75000
970=	7	-24.30000
970=	7	-24.66379
970=	7	-24.95000
970=	7	-25.28333
970=	7	-25.60000
970=	7	-25.62900
970=	7	-26.39540
970=	7	-26.43100
970=	7	-26.53333
970=	7	-26.56300
970=	7	-26.82900
970=	7	-27.08955
970=	7	-27.50000
970=	7	-27.93330
970=	7	-28.33300
970=	7	-29.31666
970=	7	-29.50683
