rank	count	UID
1=	1	105767
1=	1	105768
1=	1	105769
1=	1	105770
1=	1	105771
1=	1	105772
1=	1	105773
1=	1	105774
1=	1	105775
1=	1	105776
1=	1	105778
1=	1	105779
1=	1	105780
1=	1	105781
1=	1	105782
1=	1	105783
1=	1	105784
1=	1	105785
1=	1	105786
1=	1	105787
1=	1	105788
1=	1	105789
1=	1	105790
1=	1	105791
1=	1	105792
1=	1	105793
1=	1	105794
1=	1	105795
1=	1	105796
1=	1	105797
1=	1	105798
1=	1	105799
1=	1	105800
1=	1	105801
1=	1	105802
1=	1	105803
1=	1	1058034
1=	1	1058035
1=	1	1058036
1=	1	1058037
1=	1	1058038
1=	1	105804
1=	1	1058040
1=	1	1058041
1=	1	1058042
1=	1	1058043
1=	1	1058044
1=	1	1058045
1=	1	1058046
1=	1	1058047
1=	1	1058048
1=	1	1058049
1=	1	105805
1=	1	1058050
1=	1	1058051
1=	1	1058052
1=	1	1058053
1=	1	1058054
1=	1	1058055
1=	1	1058056
1=	1	1058057
1=	1	1058058
1=	1	1058059
1=	1	105806
1=	1	1058060
1=	1	1058061
1=	1	1058062
1=	1	1058063
1=	1	1058064
1=	1	1058065
1=	1	1058066
1=	1	1058067
1=	1	1058068
1=	1	1058069
1=	1	105807
1=	1	1058070
1=	1	1058071
1=	1	1058072
1=	1	1058073
1=	1	1058074
1=	1	1058075
1=	1	1058076
1=	1	1058077
1=	1	1058078
1=	1	1058079
1=	1	105808
1=	1	105809
1=	1	105810
1=	1	105811
1=	1	105812
1=	1	105813
1=	1	105814
1=	1	105815
1=	1	105816
1=	1	105817
1=	1	105818
1=	1	105819
1=	1	105820
1=	1	105821
1=	1	105822
1=	1	105823
1=	1	105824
1=	1	105825
1=	1	105826
1=	1	105827
1=	1	105828
1=	1	105829
1=	1	105830
1=	1	105831
1=	1	105832
1=	1	105833
1=	1	105834
1=	1	105835
1=	1	105836
1=	1	105837
1=	1	105838
1=	1	105839
1=	1	105840
1=	1	105841
1=	1	105842
1=	1	105843
1=	1	105844
1=	1	105845
1=	1	105846
1=	1	105847
1=	1	105848
1=	1	105849
1=	1	105850
1=	1	105851
1=	1	105852
1=	1	105853
1=	1	105854
1=	1	105855
1=	1	105856
1=	1	105857
1=	1	105858
1=	1	105859
1=	1	105860
1=	1	105861
1=	1	105862
1=	1	105863
1=	1	105864
1=	1	105865
1=	1	105866
1=	1	105867
1=	1	105868
1=	1	105869
1=	1	105870
1=	1	105871
1=	1	105872
1=	1	105873
1=	1	105874
1=	1	105875
1=	1	105876
1=	1	105877
1=	1	105878
1=	1	105879
1=	1	105880
1=	1	105881
1=	1	105882
1=	1	105883
1=	1	105884
1=	1	105885
1=	1	105886
1=	1	105887
1=	1	105888
1=	1	105889
1=	1	105890
1=	1	105891
1=	1	105892
1=	1	105893
1=	1	105894
1=	1	105895
1=	1	105896
1=	1	105897
1=	1	105898
1=	1	105899
1=	1	105900
1=	1	105901
1=	1	105902
1=	1	105903
1=	1	105904
1=	1	105905
1=	1	105906
1=	1	105907
1=	1	105908
1=	1	105909
1=	1	105910
1=	1	105911
1=	1	105912
1=	1	105913
1=	1	105914
1=	1	105915
1=	1	1059153
1=	1	1059158
1=	1	105916
1=	1	105917
1=	1	1059171
1=	1	105919
1=	1	1059198
1=	1	1059199
1=	1	105920
1=	1	1059204
1=	1	105921
1=	1	105922
1=	1	105923
1=	1	105924
1=	1	105925
1=	1	105926
1=	1	1059266
1=	1	105927
1=	1	1059271
1=	1	1059272
1=	1	1059273
1=	1	1059274
1=	1	1059275
1=	1	1059276
1=	1	105928
1=	1	105929
1=	1	105930
1=	1	105931
1=	1	105932
1=	1	105933
1=	1	105934
1=	1	105935
1=	1	105936
1=	1	105937
1=	1	105938
1=	1	105939
1=	1	105940
1=	1	105941
1=	1	105942
1=	1	105943
1=	1	105944
1=	1	105945
1=	1	105946
1=	1	105947
1=	1	105948
1=	1	105949
1=	1	105950
1=	1	105951
1=	1	105952
1=	1	105953
1=	1	105954
1=	1	105955
1=	1	105956
1=	1	105957
1=	1	105958
1=	1	105959
1=	1	105960
1=	1	105961
1=	1	105962
1=	1	105963
1=	1	105964
1=	1	105965
1=	1	105967
1=	1	105968
1=	1	105969
1=	1	105970
1=	1	105971
1=	1	105972
1=	1	105973
1=	1	105974
1=	1	105975
1=	1	105976
1=	1	105978
1=	1	105979
1=	1	105980
1=	1	105981
1=	1	105982
1=	1	105983
1=	1	105984
1=	1	105985
1=	1	105986
1=	1	105987
1=	1	105988
1=	1	105989
1=	1	105990
1=	1	105991
1=	1	105992
1=	1	105993
1=	1	105994
1=	1	105995
1=	1	105996
1=	1	105997
1=	1	105998
1=	1	105999
1=	1	106000
1=	1	106001
1=	1	106002
1=	1	106003
1=	1	106004
1=	1	106005
1=	1	106006
1=	1	106007
1=	1	106008
1=	1	106009
1=	1	106010
1=	1	106011
1=	1	106012
1=	1	106013
1=	1	106014
1=	1	106015
1=	1	106016
1=	1	106017
1=	1	106018
1=	1	106019
1=	1	106020
1=	1	106021
1=	1	106022
1=	1	106023
1=	1	106024
1=	1	106025
1=	1	106026
1=	1	106027
1=	1	106028
1=	1	106029
1=	1	106030
1=	1	106031
1=	1	106032
1=	1	106033
1=	1	106034
1=	1	106035
1=	1	106036
1=	1	106037
1=	1	106038
1=	1	106039
1=	1	106040
1=	1	106041
1=	1	106042
1=	1	106043
1=	1	106044
1=	1	106045
1=	1	106046
1=	1	106047
1=	1	106048
1=	1	106049
1=	1	106050
1=	1	106052
1=	1	106053
1=	1	106054
1=	1	106055
1=	1	106056
1=	1	106057
1=	1	106058
1=	1	106059
1=	1	106060
1=	1	106061
1=	1	106062
1=	1	106063
1=	1	106064
1=	1	106065
1=	1	106066
1=	1	106067
1=	1	106068
1=	1	106069
1=	1	106070
1=	1	106071
1=	1	106072
1=	1	106073
1=	1	106074
1=	1	106075
1=	1	106076
1=	1	106077
1=	1	106078
1=	1	106079
1=	1	106080
1=	1	106081
1=	1	106082
1=	1	106083
1=	1	106084
1=	1	106085
1=	1	106086
1=	1	106087
1=	1	106088
1=	1	106089
1=	1	106090
1=	1	106091
1=	1	106092
1=	1	106093
1=	1	106094
1=	1	106095
1=	1	106096
1=	1	106097
1=	1	106098
1=	1	106099
1=	1	106100
1=	1	106101
1=	1	106102
1=	1	106103
1=	1	106104
1=	1	106105
1=	1	106106
1=	1	106107
1=	1	106108
1=	1	106109
1=	1	106110
1=	1	106111
1=	1	106112
1=	1	106113
1=	1	106114
1=	1	106115
1=	1	106116
1=	1	1061161
1=	1	1061162
1=	1	1061163
1=	1	106117
1=	1	106118
1=	1	106119
1=	1	106120
1=	1	106121
1=	1	106122
1=	1	106123
1=	1	106124
1=	1	106125
1=	1	106126
1=	1	106127
1=	1	106128
1=	1	106129
1=	1	106130
1=	1	1062357
1=	1	1062358
1=	1	1062359
1=	1	1062360
1=	1	1062361
1=	1	1062362
1=	1	1062363
1=	1	1062364
1=	1	1062365
1=	1	1062366
1=	1	1062367
1=	1	1062368
1=	1	1062369
1=	1	1062370
1=	1	1062371
1=	1	1062372
1=	1	1062373
1=	1	1062374
1=	1	1062375
1=	1	1062376
1=	1	1062377
1=	1	1062378
1=	1	1062379
1=	1	1062380
1=	1	1062381
1=	1	1062382
1=	1	1062383
1=	1	1062384
1=	1	1062385
1=	1	1062386
1=	1	1062387
1=	1	1062388
1=	1	1062389
1=	1	1062390
1=	1	1062391
1=	1	1062392
1=	1	1062393
1=	1	1062394
1=	1	1062395
1=	1	1064077
1=	1	1064079
1=	1	1064080
1=	1	1064112
1=	1	1064156
1=	1	1064157
1=	1	1064235
1=	1	106424
1=	1	106425
1=	1	106426
1=	1	106427
1=	1	106428
1=	1	106429
1=	1	106430
1=	1	106431
1=	1	106432
1=	1	106436
1=	1	106437
1=	1	106438
1=	1	106439
1=	1	106440
1=	1	106441
1=	1	106442
1=	1	106443
1=	1	106444
1=	1	106445
1=	1	106446
1=	1	106447
1=	1	106448
1=	1	106449
1=	1	106450
1=	1	106451
1=	1	106452
1=	1	106453
1=	1	106454
1=	1	106455
1=	1	106456
1=	1	106457
1=	1	106458
1=	1	106459
1=	1	106460
1=	1	106461
1=	1	106462
1=	1	106463
1=	1	106464
1=	1	106465
1=	1	106466
1=	1	106467
1=	1	106468
1=	1	106469
1=	1	106470
1=	1	106471
1=	1	106472
1=	1	106473
1=	1	106474
1=	1	106475
1=	1	106476
1=	1	106477
1=	1	106478
1=	1	106479
1=	1	106480
1=	1	106481
1=	1	106482
1=	1	106483
1=	1	106484
1=	1	106485
1=	1	106486
1=	1	106487
1=	1	106488
1=	1	106489
1=	1	106490
