rank	count	Collector
752=	1	G.F. Gross, P. Aitken
752=	1	G.K. McAlpine &#38; G.A. Holloway
752=	1	G.P. Hall
752=	1	Gary F. Hevel
752=	1	Grace Lithgow
752=	1	Gray, Milledge, Smith
752=	1	Gressit &#38; Tawl
752=	1	Gressitt
752=	1	H. Cooper
752=	1	H. E. Young
752=	1	H. Finlay
752=	1	H. Fruhstorfer
752=	1	H. H. Ross
752=	1	H. Hardcastle
752=	1	H. Hess
752=	1	H. M. Cameron
752=	1	H. M. Cane
752=	1	H. S. Wales
752=	1	H. Torrevillas
752=	1	Helmsing
752=	1	I. Hutton
752=	1	I. Lansbury
752=	1	I. Naumann &#38; T. Weir
752=	1	J &#38; N Lawrence
752=	1	J. &#38; J.H. Sedlacek
752=	1	J. Armstrong &#38; A. Musgrave
752=	1	J. Balderson
752=	1	J. Bracken and R. Wharton
752=	1	J. C. Cardale &#38; S. R. Curtis
752=	1	J. Cardale, P. Zborowski
752=	1	J. Clarke
752=	1	J. Conran
752=	1	J. Crawford
752=	1	J. D. Beri
752=	1	J. D. Holloway
752=	1	J. D. Majer
752=	1	J. Davis
752=	1	J. F. Donaldson, J. W. Turner
752=	1	J. Feehan
752=	1	J. G. O. Tepper
752=	1	J. Grigg
752=	1	J. H. Smith
752=	1	J. Hamilton
752=	1	J. Hasenpasch
752=	1	J. Huisman &#38; R. de Jong
752=	1	J. J. Davies
752=	1	J. J. Walker
752=	1	J. L. Bannister
752=	1	J. Letchford
752=	1	J. M. Valentine
752=	1	J. Majer
752=	1	J. Shaw
752=	1	J. T. Hamilton
752=	1	J. T. Medler
752=	1	J. Upton
752=	1	J.A. Humphreys
752=	1	J.C. Bridwell
752=	1	J.J.H. Szent-Ivany and W.A. van der Berk
752=	1	J.L Gressitt
752=	1	J.L. Gressitt
752=	1	J.L. and M. Gressitt
752=	1	K. A. Spencer
752=	1	K. Armstrong
752=	1	K. C. Khoo, B. Day &#38; D. K. McAlpine
752=	1	K. F. &#38; A. F. Longbottom
752=	1	K. Hyde
752=	1	K.J. Day
752=	1	K.J. Kuncheria
752=	1	Karavaev
752=	1	Koltun
752=	1	Kovalev
752=	1	L. D. Crawford
752=	1	L. E. Koch &#38; E. G. Cockett
752=	1	L. Fulmek
752=	1	L. J. Chinnick
752=	1	L. J. Durnbleton
752=	1	L. J. Toxopeus
752=	1	L. Jackson
752=	1	L. P. Rockwood
752=	1	L. Reese
752=	1	L. V. D.
752=	1	L. Wagner
752=	1	L. Wassell
752=	1	L.F.U.
752=	1	Lea and party
752=	1	Lyell
752=	1	M. A. Cowan
752=	1	M. Baehr
752=	1	M. Bennie
752=	1	M. Bulbert &#38; N. Tatarnic
752=	1	M. Cheng, C. Symonds &#38; G.S. Taylor
752=	1	M. E. Bacchus
752=	1	M. F. Day
752=	1	M. Moir
752=	1	M. Mueller
752=	1	M. Purcell
752=	1	M. Robinson
752=	1	M. Sedlacek
752=	1	M. Thomas
752=	1	M. Wilson
752=	1	M.A. Schneider
752=	1	M.D. Delfinado
752=	1	M.J.D. Brendell
752=	1	Mackerras
752=	1	McAlpine &#38; Martin
752=	1	McD
752=	1	Meisters
752=	1	Merston Bates
752=	1	Miller
752=	1	Monteith &#38; Seymour
752=	1	Monteith and Gough
752=	1	Monteith, Janetzki &#38; Cook
752=	1	Monteith, Koch &#38; Thompson
752=	1	Monteith. Pyrethr
752=	1	Moulds, McEvey &#38; McAlpine
752=	1	N. Geavay
752=	1	N. J. Mitchell
752=	1	Nat. Hist. Exp.
752=	1	Nicholson
752=	1	Nieuw Guinea Exp. K. N. A. G.
752=	1	No Collector on label
752=	1	O. Bryant
752=	1	O.R. Wilkes
752=	1	P P Stahle
752=	1	P. A. Montrouzier
752=	1	P. Aitken &#38; W. Head
752=	1	P. B. M'Quillan
752=	1	P. G. Kendrick
752=	1	P. Grootaert
752=	1	P. Kerridge
752=	1	P. M. D.
752=	1	P. W. Shepherd
752=	1	P. Williams
752=	1	P.J. Darlington
752=	1	P.R. Webb
752=	1	P.T.
752=	1	PRB
752=	1	Paramonov
752=	1	Ph. Francois
752=	1	R. A. Loney
752=	1	R. A. McLachlan
752=	1	R. Angus
752=	1	R. D. Hughes
752=	1	R. Doney
752=	1	R. E. Harrison
752=	1	R. Elder
752=	1	R. G. Oakley
752=	1	R. H. van Zwaluvenburg
752=	1	R. Howell
752=	1	R. Lindsay
752=	1	R. Lossin
752=	1	R. Mackay
752=	1	R. Morrison
752=	1	R. Pengilley
752=	1	R. Petty
752=	1	R. Raven
752=	1	R. Shepherd
752=	1	R. Simms
752=	1	R. Storey &#38; G. Dickenson
752=	1	R. Storey &#38; S DeFaveri
752=	1	R. W. L. Potts
752=	1	R. W. Steele
752=	1	R.B. Angus
752=	1	R.J. Elder
752=	1	R.S.B.
752=	1	R.T. Bell
752=	1	R.T. Schuh and Massie
752=	1	R.V.C. Smythe
752=	1	RRS
752=	1	Richard Bejsak
752=	1	S. Churchill
752=	1	S. H. Curnow
752=	1	S. H. Sheridan
752=	1	S. Hunter
752=	1	S. K. Waite
752=	1	S. L. A.
752=	1	S. M. Watson
752=	1	S. O. Shattuck
752=	1	S. T. Blake
752=	1	S.M. Postmus
752=	1	S.M. Wade
752=	1	Simson
752=	1	South Olary Plains Survey
752=	1	Sth Mt Lofty Surv NOA018
752=	1	Storey &#38; Dickinson
752=	1	T. Aarons
752=	1	T. Brooks
752=	1	T. D. A. Summerville
752=	1	T. D. Campbell
752=	1	T. F. Houston &#38; M. S. Harvey
752=	1	T. M. Wells
752=	1	T. Moriarty
752=	1	T. Passlow
752=	1	T. Tigner
752=	1	T. Weeks
752=	1	T.J. Henry
752=	1	T.R. New
752=	1	T.V. Bourke
752=	1	Thane Pratt
752=	1	Tomkovich
752=	1	Upton, Taylor &#38; Cardale
752=	1	V. F. Easlap
752=	1	V. Stablum
752=	1	V. Williamson
752=	1	W.  Middlekauff
752=	1	W. B. Gurney
752=	1	W. Bryan
752=	1	W. C. Gagne, G. M. Nishida, G. A. Samuelson
752=	1	W. H. T. Yanon
752=	1	W. M. Wheeler
752=	1	W. N. Lock
752=	1	W. Roepke
752=	1	W. Torrevillas
752=	1	W.J. Marsh
752=	1	Warburg
752=	1	Warsberg
752=	1	Zaitzev

62083	TOTAL
