rank	count	Longitude
1724=	2	150.36800
1724=	2	150.44048
1724=	2	150.45718
1724=	2	150.51232
1724=	2	150.59086
1724=	2	150.59102
1724=	2	150.62070
1724=	2	150.66400
1724=	2	150.69222
1724=	2	150.87496
1724=	2	150.98333
1724=	2	150.99336
1724=	2	150.99833
1724=	2	151.00900
1724=	2	151.02000
1724=	2	151.02600
1724=	2	151.06000
1724=	2	151.07668
1724=	2	151.10100
1724=	2	151.10694
1724=	2	151.10800
1724=	2	151.11904
1724=	2	151.16556
1724=	2	151.26600
1724=	2	151.30000
1724=	2	151.30119
1724=	2	151.43333
1724=	2	151.46400
1724=	2	151.50000
1724=	2	151.75000
1724=	2	151.75100
1724=	2	151.86527
1724=	2	151.90300
1724=	2	152.05100
1724=	2	152.08333
1724=	2	152.22611
1724=	2	152.25000
1724=	2	152.29419
1724=	2	152.33200
1724=	2	152.35100
1724=	2	152.38027
1724=	2	152.38037
1724=	2	152.40000
1724=	2	152.41561
1724=	2	152.41666
1724=	2	152.52833
1724=	2	152.53263
1724=	2	152.61388
1724=	2	152.63333
1724=	2	152.67000
1724=	2	152.76600
1724=	2	152.76638
1724=	2	152.81200
1724=	2	152.83500
1724=	2	152.89388
1724=	2	152.90178
1724=	2	152.95800
1724=	2	152.95944
1724=	2	152.96523
1724=	2	152.99777
1724=	2	153.03925
1724=	2	153.04200
1724=	2	153.09056
1724=	2	153.09439
1724=	2	153.12400
1724=	2	153.16700
1724=	2	153.19389
1724=	2	153.19395
1724=	2	153.21666
1724=	2	153.25590
1724=	2	153.28889
1724=	2	153.29447
1724=	2	153.35960
1724=	2	153.55000
1724=	2	153.56060
1724=	2	155.35001
1724=	2	155.64388
1724=	2	155.71666
1724=	2	156.58472
1724=	2	158.16668
1724=	2	159.05083
1724=	2	159.05900
1724=	2	159.73333
1724=	2	159.73334
1724=	2	159.96694
1724=	2	160.16361
1724=	2	160.23334
1724=	2	160.36667
1724=	2	160.68333
1724=	2	162.97700
1724=	2	162.99444
1724=	2	165.29330
1724=	2	165.30000
1724=	2	165.88333
1724=	2	166.50433
1724=	2	166.61949
1724=	2	166.76000
1724=	2	166.82561
1724=	2	166.90000
1724=	2	166.92910
1724=	2	166.94150
1724=	2	166.95000
1724=	2	166.96388
1724=	2	168.18300
1724=	2	168.26080
1724=	2	168.32403
1724=	2	173.71020
1724=	2	177.41712
1724=	2	177.48575
1724=	2	177.55000
1724=	2	177.96079
1724=	2	178.38280
1724=	2	178.57739
1724=	2	179.43330
1724=	2	97.68333
1724=	2	99.12200
2173=	1	100.89002
2173=	1	100.99293
2173=	1	101.44071
2173=	1	101.48000
2173=	1	101.62041
2173=	1	101.63839
2173=	1	101.73361
2173=	1	101.75000
2173=	1	101.78332
2173=	1	101.81527
2173=	1	101.82648
2173=	1	102.03424
2173=	1	102.24050
2173=	1	102.25000
2173=	1	102.43332
2173=	1	102.43820
2173=	1	102.43959
2173=	1	102.46646
2173=	1	103.78639
2173=	1	103.83416
2173=	1	104.16670
2173=	1	104.83412
2173=	1	105.31296
2173=	1	107.60416
2173=	1	110.54439
2173=	1	110.71222
2173=	1	112.03334
2173=	1	112.82130
2173=	1	113.00555
2173=	1	113.13800
2173=	1	113.63583
2173=	1	113.66000
2173=	1	113.68200
2173=	1	114.00500
2173=	1	114.31600
2173=	1	114.36800
2173=	1	114.43030
2173=	1	114.61600
2173=	1	114.63200
2173=	1	114.64159
2173=	1	114.73333
2173=	1	114.96666
2173=	1	115.03333
2173=	1	115.05000
2173=	1	115.05871
2173=	1	115.10000
2173=	1	115.11200
2173=	1	115.13087
2173=	1	115.15825
2173=	1	115.19300
2173=	1	115.19663
2173=	1	115.28880
2173=	1	115.34600
2173=	1	115.37277
2173=	1	115.51000
2173=	1	115.54222
2173=	1	115.65000
2173=	1	115.68330
2173=	1	115.69209
2173=	1	115.71444
2173=	1	115.71520
2173=	1	115.75241
2173=	1	115.76670
2173=	1	115.76730
2173=	1	115.79757
2173=	1	115.80550
2173=	1	115.82417
2173=	1	115.82575
2173=	1	115.84366
2173=	1	115.84884
2173=	1	115.86194
2173=	1	115.87091
2173=	1	115.89589
2173=	1	115.94870
2173=	1	115.96666
2173=	1	115.97170
2173=	1	115.97742
2173=	1	115.98200
2173=	1	115.99833
2173=	1	116.01008
2173=	1	116.02000
2173=	1	116.02488
2173=	1	116.03333
2173=	1	116.03490
2173=	1	116.04510
2173=	1	116.04639
2173=	1	116.05204
2173=	1	116.05900
2173=	1	116.11800
2173=	1	116.12200
2173=	1	116.14110
2173=	1	116.14510
2173=	1	116.27458
2173=	1	116.29819
2173=	1	116.30842
2173=	1	116.33000
2173=	1	116.38816
2173=	1	116.40297
2173=	1	116.46288
2173=	1	116.55382
2173=	1	116.56161
2173=	1	116.63100
2173=	1	116.64030
2173=	1	116.66597
2173=	1	116.68333
2173=	1	116.70390
2173=	1	116.73052
2173=	1	116.78000
2173=	1	116.79444
2173=	1	116.81980
2173=	1	116.87000
2173=	1	116.95966
2173=	1	116.98111
2173=	1	117.03561
2173=	1	117.05000
2173=	1	117.06182
2173=	1	117.06844
2173=	1	117.08477
2173=	1	117.10111
2173=	1	117.10555
2173=	1	117.15260
2173=	1	117.16028
2173=	1	117.16110
2173=	1	117.16708
2173=	1	117.18700
2173=	1	117.20000
2173=	1	117.21667
2173=	1	117.22253
2173=	1	117.34890
2173=	1	117.37000
2173=	1	117.37250
2173=	1	117.46250
2173=	1	117.55000
2173=	1	117.55605
2173=	1	117.57686
2173=	1	117.77250
2173=	1	117.77641
2173=	1	117.90328
2173=	1	117.93305
2173=	1	117.94556
2173=	1	117.96171
2173=	1	117.96944
2173=	1	117.98483
2173=	1	117.98500
2173=	1	117.98583
2173=	1	117.99784
2173=	1	118.00100
2173=	1	118.10000
2173=	1	118.11670
2173=	1	118.13333
2173=	1	118.40040
2173=	1	118.46920
2173=	1	118.48500
2173=	1	118.54944
2173=	1	118.58777
2173=	1	118.67055
2173=	1	118.69590
2173=	1	118.74555
2173=	1	118.75000
2173=	1	118.76800
2173=	1	118.78777
2173=	1	118.90500
2173=	1	119.12700
2173=	1	119.19011
2173=	1	119.20200
2173=	1	119.28860
2173=	1	119.32833
2173=	1	119.36133
2173=	1	119.43000
2173=	1	119.48333
2173=	1	119.48440
2173=	1	119.60000
2173=	1	119.65000
2173=	1	119.84060
2173=	1	119.97388
2173=	1	120.12890
2173=	1	120.17000
2173=	1	120.21322
2173=	1	120.28333
2173=	1	120.48479
2173=	1	120.56666
2173=	1	120.64180
2173=	1	120.64638
2173=	1	120.66666
2173=	1	120.70625
2173=	1	120.73333
2173=	1	120.79202
2173=	1	120.93333
2173=	1	121.32600
2173=	1	121.38333
2173=	1	121.40750
2173=	1	121.46500
2173=	1	121.65800
2173=	1	122.04000
2173=	1	122.20050
2173=	1	122.23330
2173=	1	122.25000
2173=	1	122.34210
2173=	1	122.43253
2173=	1	122.47680
2173=	1	122.87700
2173=	1	123.09509
2173=	1	123.17754
2173=	1	123.24820
2173=	1	123.68333
2173=	1	123.71666
2173=	1	123.89710
2173=	1	123.90380
2173=	1	123.93305
2173=	1	123.98361
2173=	1	124.16666
2173=	1	124.24527
2173=	1	124.24833
2173=	1	124.36670
2173=	1	124.38300
2173=	1	124.45000
2173=	1	124.70578
2173=	1	124.86666
2173=	1	124.94200
2173=	1	125.06944
2173=	1	125.10240
2173=	1	125.11250
2173=	1	125.16707
2173=	1	125.42970
2173=	1	125.48000
2173=	1	125.52022
2173=	1	125.52200
2173=	1	125.93194
2173=	1	126.19900
2173=	1	126.40000
2173=	1	126.45001
2173=	1	126.49000
2173=	1	126.50020
2173=	1	127.00282
2173=	1	127.30450
2173=	1	128.14300
2173=	1	128.14735
2173=	1	128.18966
2173=	1	128.43900
2173=	1	128.61800
2173=	1	128.67090
2173=	1	128.75000
2173=	1	128.75240
2173=	1	129.40000
2173=	1	129.43333
2173=	1	129.83916
2173=	1	130.08333
2173=	1	130.20000
2173=	1	130.23333
2173=	1	130.23750
2173=	1	130.26500
2173=	1	130.41000
2173=	1	130.41400
2173=	1	130.41410
2173=	1	130.46619
2173=	1	130.50000
2173=	1	130.58000
2173=	1	130.61000
2173=	1	130.68610
2173=	1	130.71400
2173=	1	130.75400
2173=	1	130.82300
2173=	1	130.82900
2173=	1	130.83000
2173=	1	130.83333
2173=	1	130.84900
2173=	1	130.90200
2173=	1	130.93400
2173=	1	131.02750
2173=	1	131.03400
2173=	1	131.04000
2173=	1	131.06200
2173=	1	131.10000
2173=	1	131.16774
2173=	1	131.17000
2173=	1	131.28333
2173=	1	131.36667
2173=	1	131.58333
2173=	1	131.70000
2173=	1	131.71179
2173=	1	131.79333
2173=	1	131.79555
2173=	1	131.80583
2173=	1	131.82000
2173=	1	131.83361
2173=	1	131.83698
2173=	1	131.99300
2173=	1	132.01667
2173=	1	132.09000
2173=	1	132.14400
2173=	1	132.25148
2173=	1	132.26305
2173=	1	132.32936
2173=	1	132.35000
2173=	1	132.39000
2173=	1	132.41600
2173=	1	132.42300
2173=	1	132.47463
2173=	1	132.65900
2173=	1	132.76376
2173=	1	132.80701
2173=	1	132.83200
2173=	1	132.83333
2173=	1	132.90333
2173=	1	132.91670
2173=	1	132.93333
2173=	1	132.96500
2173=	1	133.06666
2173=	1	133.07000
2173=	1	133.07639
2173=	1	133.11559
2173=	1	133.13000
2173=	1	133.28500
2173=	1	133.35000
2173=	1	133.36900
2173=	1	133.43100
2173=	1	133.43333
2173=	1	133.46666
2173=	1	133.52070
2173=	1	133.56666
2173=	1	133.62040
2173=	1	133.75000
2173=	1	133.76049
2173=	1	133.78449
2173=	1	133.79370
2173=	1	133.80000
2173=	1	133.83500
2173=	1	133.85000
2173=	1	133.86666
2173=	1	133.87067
2173=	1	134.00000
2173=	1	134.05090
2173=	1	134.07154
2173=	1	134.22299
2173=	1	134.32600
2173=	1	134.45000
2173=	1	134.47780
2173=	1	134.49686
2173=	1	134.57000
2173=	1	134.64097
