rank	count	HostAuth
105	85	&#40;L.&#41; Čelak.
106	84	Hueg.
107=	83	Barlow
107=	83	G. Forst.
109	79	Lindley
110	78	R.T. Baker
111	75	&#40;Desf.&#41; S.T.Reynolds
112	74	Lamont
113	69	&#40;Pilg.&#41; Lazarides
114	68	&#40;Hook.&#41; Reissek
115=	67	&#40;Benth.&#41; Paul G. Wilson
115=	67	&#40;Schltdl.&#41; A.R. Bean
117=	64	&#40;Moq.&#41; P.G. Wilson
117=	64	L.A.S. Johnson
119	63	&#40;Lehm. ex Miq.&#41; Tieghem
120=	61	&#40;Labill.&#41; Sm.
120=	61	&#40;Lindl.&#41; Craven
122	59	&#40;Labill.&#41; Sweet
123	58	&#40;Meisn.&#41; Benth.
124=	57	&#40;Endl.&#41; F. Muell.
124=	57	&#40;Smith&#41; Benth.
124=	57	&#40;Sw.&#41; Schott
124=	57	Trudgen
128=	56	&#40;Blakely&#41; Barlow
128=	56	Anderb.
130	55	Roxb.
131	53	&#40;F. Muell.&#41; L.A.S. Johnson
132	52	&#40;Bonpl.&#41; DC.
133	51	Dehnh.
134=	50	&#40;L.&#41; Gaertn.
134=	50	Maslin
136=	49	&#40;DC.&#41; J.G. West
136=	49	F.Muell. ex Benth.
138=	48	Brooker &#38; Hopper
138=	48	L. A. Craven
138=	48	Vent.
141=	47	&#40;R. Br.&#41; F. Muell.
141=	47	J.R. Forst. &#38; G. Forst.
143	46	F. Muell. ex Reissek
144	44	&#40;Endl.&#41; Fryxell
145	43	&#40;L.&#41; Willd.
146	42	E.M. Benn. &#38; K. Shepherd
147	41	&#40;Lindl.&#41; Benth.
148=	40	&#40;F. Muell.&#41; P.G. Wilson
148=	40	&#40;R.Br.&#41; A.DC.
150	39	&#40;DC.&#41; Randell
151=	38	&#40;Sm.&#41; R. Br.
151=	38	F.Muell.
153=	37	&#40;D.J.Carr &#38; S.G.M.Carr&#41; K.D.Hill &#38; L.A.S. Johnson
153=	37	&#40;E. Pritz.&#41; Rye &#38; Trudgen
155=	36	&#40;R. Br.&#41; B.G. Briggs &#38; L.A.S. Johnson
155=	36	M.W. McDonald &#38; Maslin
157=	35	&#40;Diels&#41; Lander ms
157=	35	&#40;F. Muell.&#41; F. Muell. ex J.M. Black
157=	35	&#40;Gaudich.&#41; Fryxell
157=	35	Lehm.
157=	35	Maiden
