count$path$bad_name$	suggested_name
    2$_NO_HIGHERTAXON$Andropogon glomeratus$	Andropogon sp_ms_glomeratus
    2$_NO_HIGHERTAXON$Andropogon sp.$	Andropogon sp.
    4$_NO_HIGHERTAXON$Andropogon virginicus$	Andropogon sp_ms_virginicus
   28$_NO_HIGHERTAXON$Anemocarpa saxatilis$	Anemocarpa sp_ms_saxatilis
    1$_NO_HIGHERTAXON$Angelonia angustifolia$	Angelonia sp_ms_angustifolia
    8$_NO_HIGHERTAXON$Angophora hispida$	Angophora sp_ms_hispida
    1$_NO_HIGHERTAXON$Annona glabra$	Annona sp_ms_glabra
    1$_NO_HIGHERTAXON$Annona reticulata$	Annona sp_ms_reticulata
    6$_NO_HIGHERTAXON$Annona sp.$	Annona sp.
    3$_NO_HIGHERTAXON$Annona squamosa$	Annona sp_ms_squamosa
    1$_NO_HIGHERTAXON$Anthemis cotula$	Anthemis sp_ms_cotula
    4$_NO_HIGHERTAXON$Anthocercis littorea$	Anthocercis sp_ms_littorea
   41$_NO_HIGHERTAXON$Anthotroche walcottii$	Anthotroche sp_ms_walcottii
    1$_NO_HIGHERTAXON$Anthurium scandens$	Anthurium sp_ms_scandens
    2$_NO_HIGHERTAXON$Anthurium sp.$	Anthurium sp.
    2$_NO_HIGHERTAXON$Aphelandra squarrosa$	Aphelandra sp_ms_squarrosa
    2$_NO_HIGHERTAXON$Apios americana$	Apios sp_ms_americana
    1$_NO_HIGHERTAXON$Aralia balfouriana$	Aralia sp_ms_balfouriana
    1$_NO_HIGHERTAXON$Aralia sp.$	Aralia sp.
    1$_NO_HIGHERTAXON$Araucaria bidwillii$	Araucaria sp_ms_bidwillii
    8$_NO_HIGHERTAXON$Araucaria heterophylla$	Araucaria sp_ms_heterophylla
    1$_NO_HIGHERTAXON$Araucaria hunsteinii$	Araucaria sp_ms_hunsteinii
    1$_NO_HIGHERTAXON$Arbutus unedo$	Arbutus sp_ms_unedo
    1$_NO_HIGHERTAXON$Arbutus xalapensis$	Arbutus sp_ms_xalapensis
    4$_NO_HIGHERTAXON$Ardisia escallonioides$	Ardisia sp_ms_escallonioides
    1$_NO_HIGHERTAXON$Ardisia solanacea$	Ardisia sp_ms_solanacea
    2$_NO_HIGHERTAXON$Ardisia sp.$	Ardisia sp.
    8$_NO_HIGHERTAXON$Arecastrum romanzoffianum$	Arecastrum sp_ms_romanzoffianum
    2$_NO_HIGHERTAXON$Argyranthemum frutescens$	Argyranthemum sp_ms_frutescens
   15$_NO_HIGHERTAXON$Argyrodendron actinophyllum$	Argyrodendron sp_ms_actinophyllum
   10$_NO_HIGHERTAXON$Aristida holathera var. holathera$	Aristida sp_ms_holathera
   12$_NO_HIGHERTAXON$Aristida jerichoensis var. subopinulifera$	Aristida sp_ms_jerichoensis
    1$_NO_HIGHERTAXON$Aristida sp.$	Aristida sp.
    1$_NO_HIGHERTAXON$Aristida$	Aristida
    2$_NO_HIGHERTAXON$Aronia arbutifolia$	Aronia sp_ms_arbutifolia
    1$_NO_HIGHERTAXON$Artabotrys hexapetalus$	Artabotrys sp_ms_hexapetalus
