rank	count	TAXON_LSID
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:544705f8-05b4-413a-80ef-7c907086faaf
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:95451a12-503c-4222-999c-07e55d351e41
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:9b7a92c2-6cb8-483e-934d-e1a1e17695db
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:9cc0863f-0fbc-0b3b-e044-00144f3b4a43
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:c458893d-0de3-4d5e-9b20-df1375604a59
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:d25e0c5b-250f-4034-9451-87e12427cda4
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:d3ec592a-7c65-4e2f-9db8-31c713aaf130
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:db9640fa-c703-4851-a1f3-1d46877c2542
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:dc2feb08-a02e-44a5-b15a-a44ee99f861f
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:de57ceff-291b-4ccf-be9b-708d67455d02
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:e475d6c8-497a-4125-9532-7c175cd56d34
189=	45	urn:lsid:biodiversity.org.au:afd.taxon:fd082ed6-ec00-4392-b93e-13a0263b56e5
207=	44	urn:lsid:biodiversity.org.au:afd.taxon:55872338-5c8a-4f5d-946a-63b0850be100
207=	44	urn:lsid:biodiversity.org.au:afd.taxon:7d3b1c8a-e249-46e7-acde-0bc2015274cc
207=	44	urn:lsid:biodiversity.org.au:afd.taxon:d8558a30-92c7-4937-b404-7c4aa3592f52
210=	42	urn:lsid:biodiversity.org.au:afd.taxon:0ea3bb50-a5d3-4190-9a48-b6c00c4e2986
210=	42	urn:lsid:biodiversity.org.au:afd.taxon:274bf1a2-c995-415b-87d0-ced8c5026d1d
210=	42	urn:lsid:biodiversity.org.au:afd.taxon:491e8f52-9cd8-476d-a33b-25f2d82dcc64
210=	42	urn:lsid:biodiversity.org.au:afd.taxon:4c47198e-7b9c-480f-8efd-3e51a347a8df
210=	42	urn:lsid:biodiversity.org.au:afd.taxon:606e7e18-7d3f-4df2-9289-3a2baa91e494
210=	42	urn:lsid:biodiversity.org.au:afd.taxon:6fab587a-05a7-491a-b6e7-9daba7e90242
210=	42	urn:lsid:biodiversity.org.au:afd.taxon:716f5108-18e8-490d-8728-16748e9e02bf
210=	42	urn:lsid:biodiversity.org.au:afd.taxon:86d81d32-8662-41df-9653-92cb92a8225d
210=	42	urn:lsid:biodiversity.org.au:afd.taxon:8c65f731-99c9-45f0-a214-583744c92f92
210=	42	urn:lsid:biodiversity.org.au:afd.taxon:9cc7b770-b5f4-45ab-99f5-6eaca7ad1043
210=	42	urn:lsid:biodiversity.org.au:afd.taxon:d15c63d4-9689-4961-9d3f-fa5892d89985
210=	42	urn:lsid:biodiversity.org.au:afd.taxon:d27b49e5-f2e2-4a21-b77a-e43b9c7f0ce6
210=	42	urn:lsid:biodiversity.org.au:afd.taxon:d6cffe7b-9697-4358-a738-90c7bbf85f2c
223=	40	urn:lsid:biodiversity.org.au:afd.taxon:0f6e1b91-77a1-4237-b576-75bb9b534d19
223=	40	urn:lsid:biodiversity.org.au:afd.taxon:1d28f7c8-7c58-4da9-89ce-df0f7386b0cb
223=	40	urn:lsid:biodiversity.org.au:afd.taxon:35c85718-1093-4b36-8bd8-93a13891ec36
223=	40	urn:lsid:biodiversity.org.au:afd.taxon:361ed7f1-a3a7-490a-a955-f44db354367b
223=	40	urn:lsid:biodiversity.org.au:afd.taxon:42b84a3b-aaec-405f-903a-f124d02d0f6e
223=	40	urn:lsid:biodiversity.org.au:afd.taxon:530f4ab0-eed5-4cb0-9195-0fecac8a4d8f
223=	40	urn:lsid:biodiversity.org.au:afd.taxon:70de61c4-3dba-4a52-9c1b-17e69a85bb4d
223=	40	urn:lsid:biodiversity.org.au:afd.taxon:8c19c95b-3d4f-4b8f-ae91-181612b27a80
223=	40	urn:lsid:biodiversity.org.au:afd.taxon:a4fd7be4-d32f-423c-9643-da10cee978bb
223=	40	urn:lsid:biodiversity.org.au:afd.taxon:c1835e5c-a165-4adc-97bf-c0be6c61f44d
223=	40	urn:lsid:biodiversity.org.au:afd.taxon:f6490fce-3b1f-4817-b64f-733cccb6881e
223=	40	urn:lsid:biodiversity.org.au:afd.taxon:ff5c0bf3-c9f2-467e-a81c-ccd5a00340e4
235=	39	urn:lsid:biodiversity.org.au:afd.taxon:28190dd0-f02e-45c6-8b82-805a0cc3b9da
235=	39	urn:lsid:biodiversity.org.au:afd.taxon:3bcf9dee-2eb9-4c06-99bd-8e0f049e8cda
235=	39	urn:lsid:biodiversity.org.au:afd.taxon:5192f7f8-99a4-46a6-8f79-1d2424f09cf1
238	38	urn:lsid:biodiversity.org.au:afd.taxon:266849aa-22d5-427b-8dd5-ff3a9caf2c1a
239	37	urn:lsid:biodiversity.org.au:afd.taxon:9cc0863f-0fb6-0b3b-e044-00144f3b4a43
240=	36	urn:lsid:biodiversity.org.au:afd.taxon:087ab936-7354-47a4-a37c-ab59d83ea4b6
240=	36	urn:lsid:biodiversity.org.au:afd.taxon:1094d126-94dc-49e5-9699-a941792d697f
240=	36	urn:lsid:biodiversity.org.au:afd.taxon:1139cec7-95e7-40d8-935a-bc32cc60d119
240=	36	urn:lsid:biodiversity.org.au:afd.taxon:1a0d5ed9-6907-4637-b738-88dd77403b00
