rank	count	N_AUTHOR
938=	5	(Lam.) Mull.Arg. as <I>philippinensis</I>
938=	5	(Lour.) Swingle.
938=	5	(Maiden) Blakely
938=	5	(Maiden) Maiden
938=	5	(Nees) Benth.
938=	5	(R.Br.) Blume
938=	5	(R.Br.) Pierre
938=	5	(R.Cunn.) A.DC.
938=	5	(Roxb.) H.Hara
938=	5	(Roxb.ex Lambert) G.Don
938=	5	(Sm.) Sweet f. <I>lanceolatus</I>
938=	5	(Sm.) Sweet f. lanceolatus
938=	5	(Sol. Ex Gaertn.) Peter G.Wilson & J.T.Waterh.
938=	5	(Suckow) C.K. Schneid
938=	5	(Thunb.) Jacques
938=	5	(Thunb.) Matsum. & Nakai
938=	5	(Vent.) B.L.Burtt
938=	5	Bechstein
938=	5	Bolus
938=	5	Bory de Saint-Vincent
938=	5	C.A.Gardner
938=	5	Challinor, Cheel & A.R.Penfold
938=	5	Chapuis
938=	5	Cheel & C.T.White
938=	5	D.Don ex Sm.
938=	5	D.Don.
938=	5	Ed.Andre
938=	5	Ehrenberg
938=	5	F. Muell
938=	5	Garman
938=	5	Hamilton
938=	5	Harv.
938=	5	Hemsl.
938=	5	Herbst
938=	5	Hugel ex Endl.
938=	5	I.Williams
938=	5	Iredale
938=	5	J.C.Wendl.
938=	5	J.Sm
938=	5	Jan
938=	5	John Sm.
938=	5	Jumelle
938=	5	Kubo
938=	5	L'Herit.
938=	5	Latreille
938=	5	Laurenti
938=	5	Lf.
938=	5	Liebm.
938=	5	Lindm.
938=	5	Lütken
938=	5	Macfad. & R.E.Fries
938=	5	McCoy
938=	5	Milne Edwards
938=	5	Montagu
938=	5	Morelet
938=	5	Muell. Arg.
938=	5	O.Berg
938=	5	Ord
938=	5	Otto & A.Dietr.
938=	5	Parker
938=	5	Pavlov <i>et al</i>.
938=	5	Pierre ex Froehner
938=	5	R.Br. ex Endl.
938=	5	R.Brown
938=	5	R.Dahlgren & Clifford
938=	5	Rafinesque
938=	5	S.T.Reynolds
938=	5	Sars
938=	5	Saunders
938=	5	Say
938=	5	Sclater
938=	5	Seem. & H.Wendl.
938=	5	Swainson
938=	5	Temminck & Laugier
938=	5	Ten.
938=	5	Tenore
938=	5	Toelken
938=	5	Tomes
938=	5	Tonnoir
938=	5	Vigors
938=	5	undet.
1036=	4	( F.A.C.Weber ) Speg.
1036=	4	(Bury) Kunth
1036=	4	(C.A. Gardner) L.A.S. Johnson
1036=	4	(DC.) Randell
1036=	4	(DC.) Stapf
1036=	4	(Domin) Henrard
1036=	4	(E.Pritz.) J.W. Green
1036=	4	(F.Muell.)
1036=	4	(F.Muell.) Domin
1036=	4	(F.Muell.) E.Pritz.
1036=	4	(F.Muell.) H.A.Wendl. & Drude
1036=	4	(F.Muell.) K.Schum.
1036=	4	(F.Muell.) L.A.S. Johnson
1036=	4	(G.Forst.) Cockayne
1036=	4	(G.Forst.) Endl.
1036=	4	(G.Forst.) Roem. & Schult.
1036=	4	(G.Forster) A.DC.
1036=	4	(Gaudich.) Fryxell
1036=	4	(H.L. Wendl. & Drude) S.T.Blake
1036=	4	(Haw.) Haw.
1036=	4	(Hook.) Oerst.
1036=	4	(Jacq.) Sw.
1036=	4	(L.) A.Chev.
1036=	4	(L.) A.H.Gentry
1036=	4	(L.) Gaertner
1036=	4	(L.) Link
1036=	4	(L.) Roth
1036=	4	(Labill.) Court
1036=	4	(Labill.) J.Gay
1036=	4	(Labill.) Sm.
1036=	4	(Labour.) Riccob.
1036=	4	(Lehm. ex Miq.) Tiegh.
1036=	4	(Lindl.) Craven
1036=	4	(Miq.) Miq.
1036=	4	(Nutt.) Eng.
1036=	4	(Otto & A.Dietr.) L.A.S.Johnson
1036=	4	(Parm. ex Pfeiff.) Riccob.
1036=	4	(Paul G.Wilson) Paul G.Wilson
1036=	4	(R.Br. ex DC.) Benth.
1036=	4	(Sims) Endl.
1036=	4	(Sol. Ex Gaertn.) Sm.
1036=	4	(Sol. ex Gaertner) Hochr.
1036=	4	(Stapf) R.Webster
1036=	4	(Veitch) Hook.f.
1036=	4	(W.Hill) L.H.Bailey
1036=	4	A.Cunn. ex Don
1036=	4	A.N.Rodd
1036=	4	Andrews (Willd.)
1036=	4	B.Hyland
1036=	4	Bailey
1036=	4	Baillon
1036=	4	Berg.
1036=	4	Blakely & C.White
1036=	4	Born
1036=	4	Bosc
1036=	4	Brazenor
1036=	4	Britton & Rose
1036=	4	C.Koch
1036=	4	C.R.P.Andrews
1036=	4	Cambess.
1036=	4	Canestini
1036=	4	Castelna
1036=	4	Colenso
1036=	4	Collad.
1036=	4	Cunn. ex Benth.
1036=	4	Desfontaines
1036=	4	Dietrichsen
1036=	4	Du Bus
1036=	4	Dunal ex Poir.
1036=	4	Durazz
1036=	4	E.Desv.
1036=	4	Edwards
1036=	4	Esper
1036=	4	F.Domin
1036=	4	F.Muell. Ex Benth.
1036=	4	Gay
1036=	4	Giles
1036=	4	Griffith & Smith
1036=	4	Hess
1036=	4	Hilsenberg
1036=	4	Hort. ex Foerst.
1036=	4	Hutchinson
1036=	4	J. Black
1036=	4	J.R. Forst & G. Forst
1036=	4	Johnston
1036=	4	Jordan
1036=	4	Kirchenpauer
1036=	4	Kishinouye
1036=	4	Kuntze
1036=	4	Labillardière
1036=	4	Laveran
1036=	4	Le Souëf
1036=	4	Liem & Hosmer
1036=	4	Lindl
1036=	4	Lucas & Frost
1036=	4	Maiden, Blakely & Simmonds
1036=	4	Mjoberg
1036=	4	Muller
1036=	4	Müller & Troschel
1036=	4	Obsbeck
1036=	4	Perugia
1036=	4	Pryor & J.H.Willis
1036=	4	Péron & Lesueur
1036=	4	R.Baker & H.G.Smith
1036=	4	R.Br. Ex Mirb.
1036=	4	RBr
1036=	4	Schneider & Forster
1036=	4	Schrader
1036=	4	Schrader & Wendland
1036=	4	Seale
1036=	4	Thunberg
1036=	4	Tindal
1036=	4	Waite & McCulloch
1036=	4	Wiedemann
1036=	4	Willd
1036=	4	Willd. Ex H.L.Wendl.
1036=	4	Woodhill & Lee
1036=	4	undet. (see Medler 2000)
1154=	3	( A.Rich. ) Joy Thomps.
1154=	3	(A. Cunn. ex Hook.) Hook.
1154=	3	(A.Cunn. ex F.Muell.) Radlk.
1154=	3	(A.Cunn. ex Fenzl) Benth.
1154=	3	(A.Rich.) de Laub.
1154=	3	(A.T.Lee) A.T.Lee
1154=	3	(Aiton) Maxim.
1154=	3	(Andrews) Crisp & P.H.Weston
1154=	3	(Benth.) P.I.Forst.
1154=	3	(Benth.) P.I.Forster
1154=	3	(Benth.) Wilson
1154=	3	(Black) Wilson
1154=	3	(Bunge Ex Ung.-Stern.) AJ Scott
1154=	3	(Cav.)C.Chr.
1154=	3	(DC.)Randell
1154=	3	(Diels) L.Johnson
1154=	3	(E.Pritz.) Crisp
1154=	3	(Endl.) Benth.
1154=	3	(F.M.Bailey) K.D.Hill & L.A.S.Johnson
1154=	3	(F.Muell.) F.Muell. ex Maiden
1154=	3	(F.Muell.) J.M.Black
1154=	3	(F.Muell.) K.D.Hill & L.A.S.Johnson
1154=	3	(F.Muell.) L.Johnson
1154=	3	(F.Muell.) Rye & Trudgen
1154=	3	(F.Muell.) S.T.Reynolds
1154=	3	(Fisch. ex Gaudich.) C.A. Gardner
1154=	3	(Hook.f.)
1154=	3	(L.) Benth. & Hook.f. ex Asch. & Schweinf.
1154=	3	(L.) Jacq.
1154=	3	(L.) Walp. 
1154=	3	(L.) Wilczek
1154=	3	(L.) Willd. ex Delile
1154=	3	(Labill.) Asch. & Graebn.
1154=	3	(Labill.) H.L.Wendl.
1154=	3	(Lam. Muell.Arg.
1154=	3	(Lam.) Johnson
1154=	3	(Lindl.) Benth.
1154=	3	(Lindley) Cheel.
1154=	3	(Lindley) Lazarides
1154=	3	(Miq.) L.A.S.Johnson
1154=	3	(Muell.Arg.) Muell.Arg.
1154=	3	(Mull.Arg.) F.M.Bailey
1154=	3	(Nees) Kunth
1154=	3	(R.Baker) L.A.S. Johnson
1154=	3	(R.Br.) S.W.L.Jacobs & J.Everett
1154=	3	(Reader) S.W.L.Jacobs & J.Everett
1154=	3	(Retz.) S.T.Blake
1154=	3	(Salisb.) L.A.S. Johnson
1154=	3	A.DC.
1154=	3	A.Rich.
1154=	3	Allen & Cross
1154=	3	Annandale
1154=	3	Aubl.
1154=	3	Boisduval
1154=	3	Boulanger
1154=	3	Brehm
1154=	3	Bretagnolle & Shirihai
1154=	3	Briq.
1154=	3	Bubani
1154=	3	C.Norman
1154=	3	C.P.Thunberg
1154=	3	Day
1154=	3	De Kay
1154=	3	De Man
1154=	3	Desmoulinus
1154=	3	Emerson, <i>in</i> Snyder
1154=	3	Exell
1154=	3	F. Muell ex Benth
1154=	3	F.von Mueller
1154=	3	Forst
1154=	3	Forster & G. Forster
1154=	3	Fraser
1154=	3	Geoffroy St Hillaire
1154=	3	Geras. ex Symon
1154=	3	Gray, J.E.
1154=	3	Gyllenhal
1154=	3	Heckel
1154=	3	Heward ex Benth
1154=	3	Hitchcock
1154=	3	Hochst.
1154=	3	Houtt.
1154=	3	J.Drumm.
1154=	3	J.F. Miller
1154=	3	J.W.Green
1154=	3	Jenkins
1154=	3	Klotzsch
1154=	3	Kner
1154=	3	Krock.
1154=	3	L .
1154=	3	L. Johnson
1154=	3	L.D.Pryor & J.H.Willis
1154=	3	Last
1154=	3	Last & Stevens
1154=	3	Lister
1154=	3	Loennberg
1154=	3	Masson
1154=	3	May
1154=	3	Milne-Edwards
1154=	3	Moore
1154=	3	Murray
1154=	3	Nelmes
1154=	3	Ogilvie-Grant
1154=	3	Olivier
1154=	3	Paradice
1154=	3	Peron
1154=	3	Perrier
1154=	3	Philippi
1154=	3	Poir
1154=	3	R.Br. ex Dryand.
1154=	3	Raem. & Schult.
1154=	3	Rchb.f.
1154=	3	Rendahl
1154=	3	Richard
1154=	3	Richardson & Solander
1154=	3	Ride
1154=	3	Rudby var. <I>nitidibaccatum</I>
1154=	3	Ruppell
1154=	3	Sanger
1154=	3	Scheff.
1154=	3	Schlechtendal
1154=	3	Schrad.
1154=	3	Small
1154=	3	Smith-Vaniz
1154=	3	Specises unknown
1154=	3	Traill
1154=	3	Vaill.
1154=	3	Valeniennes
1154=	3	Weber & de Beaufort
1154=	3	Welander & SchuLTZ
1154=	3	[possibly <I>Pappophorum nigricans</I> var <I>barbinode</I> Domin.]
1154=	3	[possiby <I>Pappophorum nigricans</I> var <I>barbinode</I> Domin.]
1154=	3	aff. <I>pungens</I>
1154=	3	aff. <I>sieberiana</I>
1287=	2	( DC. ) Miq.
1287=	2	(Andrews) Lindley
1287=	2	(Benth.) C.Norman
1287=	2	(Benth.) Domin.
1287=	2	(Benth.) J.M.Black
1287=	2	(Benth.) Paul G.Wilson
1287=	2	(Benth.) S.Moore
1287=	2	(Benth.) Windler
1287=	2	(Burman f.) Stapf & C.E.Hubb.
1287=	2	(C. Moore & F.Muell.) Becc.
1287=	2	(Colla) G.Don
1287=	2	(DC.) Britton
1287=	2	(DC.) DC.
1287=	2	(DC.) J.Black
1287=	2	(DC.) K.Heyne
1287=	2	(Desf) F.Muell
1287=	2	(Desf.) DC.
1287=	2	(Desf.) S.T.Reynolds 
1287=	2	(Diels) L.A.S.Johnson
1287=	2	(Don) Decne.
1287=	2	(F. Muell. & F.M. Bailey) L.A.S. Johnson
1287=	2	(F. Muell.) A.S. Mitch
1287=	2	(F. Muell.) B. Hyland
1287=	2	(F. Muell.) Benth.
1287=	2	(F.M.Bailey)
1287=	2	(F.M.Bailey) Fahn
1287=	2	(F.Muell. ) Benth.
1287=	2	(F.Muell.) Carolin
1287=	2	(F.Muell.) Druce
1287=	2	(F.Muell.) F.Muell. ex Benth.
1287=	2	(F.Muell.) Mull.Arg.
1287=	2	(F.Muell.) Planch.
1287=	2	(F.v.M.)
1287=	2	(Fée) C.Presl
1287=	2	(G.Don) Benth.
1287=	2	(Gaertn.) F. Muell.
1287=	2	(Gaertn.) Sm.
1287=	2	(Hook.f.) Boulos
1287=	2	(J.D.Hook.) Endl.
1287=	2	(J.M.Black) Ulbr.
1287=	2	(L'Her.) Willd.
1287=	2	(L.) A.Gray
1287=	2	(L.) All.
1287=	2	(L.) Batsch.
1287=	2	(L.) Borssum Waalkes
1287=	2	(L.) Brongn.
1287=	2	(L.) Crantz
1287=	2	(L.) Delile
1287=	2	(L.) Janchen
1287=	2	(L.) M.Vahl
1287=	2	(L.) Medik.
1287=	2	(L.) Norl.
1287=	2	(L.) P.B.
1287=	2	(L.) P.Beav.
1287=	2	(L.) Romer & Schultes
1287=	2	(L.) Skeels
1287=	2	(L.) Sm.
1287=	2	(L.) Spreng
1287=	2	(L.) Sweet
1287=	2	(L.)Gaertn.
1287=	2	(L.)Roth
1287=	2	(Labill.)
1287=	2	(Labill.) R. Br.
1287=	2	(Labill.) Sweet
1287=	2	(Lam.) Lam&DC
1287=	2	(Lindley) Schumann
1287=	2	(Link) Pedley
1287=	2	(Linnaeus)
1287=	2	(Linnaeus) Karst.
1287=	2	(Lour.) M.Roem.
1287=	2	(Lour.) Oken
1287=	2	(Macklin) L.A.S.Johnson
1287=	2	(Mill.) Nyman
1287=	2	(Mill.) Pers.
1287=	2	(Mirb.) Franco
1287=	2	(Mo.) Standl.
1287=	2	(Nees) C.B.Clark
1287=	2	(Otto & F.Dietr.) L.A.S.Johnson
1287=	2	(Parl.) F.M. Bailey
1287=	2	(Poir.) Nied
1287=	2	(Poiret) A. C. Smith 
1287=	2	(R. Baker)
1287=	2	(R. Br.) Sweet
1287=	2	(R.Br.) Nees
1287=	2	(R.Br.) S.T.Blake
1287=	2	(R.T.Baker) M.B.Welch et al.
1287=	2	(S.Moore) Randell
1287=	2	(Salisb.) L.A.S.Johnson
1287=	2	(Schldl.) F.Muell.
1287=	2	(Schneev.) Stern
1287=	2	(Seem.) A.C.Sm.
1287=	2	(Sieber Ex Spreng.) L.Johnson
1287=	2	(Sm.) Peter G. Wilson & J.T.Waterh.
1287=	2	(Sm.) R.Br
1287=	2	(Sm.) R.Br. ex Mirb.
1287=	2	(Smith) Adr.Juss.
1287=	2	(Smith) Benth.
1287=	2	(Smith) Blaxell
1287=	2	(T.Kirk) Allan
1287=	2	(Vahl) Korsterm.
1287=	2	(W.Fitzg.) J.W.Green
1287=	2	(Wangenh.)
1287=	2	(Wangenh.) C.Koch
1287=	2	(Wendl.f.) Willd.
1287=	2	A. Cunn. Ex R. Br.
1287=	2	A. Cunn. ex G. Don
1287=	2	A.L. Juss.
1287=	2	A.Nels
1287=	2	A.Richard
1287=	2	A.S. George
1287=	2	Ali
1287=	2	Alleyne & Macleay
1287=	2	Anderson
1287=	2	Andr.
1287=	2	B.G.Thompson
1287=	2	B.L.Webber
1287=	2	Batsch.
1287=	2	Behr ex Schlecht.
1287=	2	Behr. 
1287=	2	Bell
1287=	2	Benn.
1287=	2	Bethune-Baker
1287=	2	Bigelow & Schroeder
1287=	2	Blakely & de Buez.
1287=	2	Bleecker
1287=	2	Bloch & Schnieider
1287=	2	Boisdural
1287=	2	Bong. ex Benth.
1287=	2	Bose
1287=	2	Bouché
1287=	2	Broderip
1287=	2	Broom
1287=	2	Bruggemann
1287=	2	Brüggemann
1287=	2	Bullinger
1287=	2	Burm. f.
1287=	2	C.F.Gaertner
1287=	2	C.K.Schneider
1287=	2	C.White
1287=	2	Campd.
1287=	2	Cannon
1287=	2	Carmichael
1287=	2	Carolin
1287=	2	Carpentier
1287=	2	Carrière
1287=	2	Cejka
1287=	2	Cheesem.
1287=	2	Chilton
1287=	2	Collette
1287=	2	Crawley
1287=	2	Cunningham
1287=	2	Davies, Martin & Watson
1287=	2	Dbld.
1287=	2	De Wild
1287=	2	Decne
1287=	2	Delile
1287=	2	Denny
1287=	2	Deshayes
1287=	2	Donovan
1287=	2	Drew & Hancock
1287=	2	Dryand.
1287=	2	Dunal
1287=	2	Dunal ex. Poir
1287=	2	Dykova <em>et al</em>.
1287=	2	E. Pritz
1287=	2	E.Mey
1287=	2	Eichhoff
1287=	2	Eisen
1287=	2	Ellis
1287=	2	Ellis & Solander
1287=	2	Endlicher
1287=	2	Engelm. in Wisl.
1287=	2	Engler
1287=	2	F.
1287=	2	F. Muell ex Benth.
1287=	2	F. Muell. and Maiden
1287=	2	F. Muell. ex Benth.
1287=	2	F. Muell. ex Miq.
1287=	2	F.Muell. ex Benth. 
1287=	2	F.Muell. ex Meisn
1287=	2	F.Muell. ex Rodway
1287=	2	F.W.Schmidt
1287=	2	Fabr.
1287=	2	Finlay
1287=	2	Forst. f.
1287=	2	Fosberg
1287=	2	Froggart
1287=	2	G.Forst
1287=	2	Gaede
1287=	2	Gennadius
1287=	2	Grah.
1287=	2	Grant
1287=	2	Gray & Richardson
1287=	2	Guérin-Méneville
1287=	2	H.B.C.
1287=	2	Halford
1287=	2	Hardy
1287=	2	Heller
1287=	2	Henry
1287=	2	Hoffmeister
1287=	2	Hook.f
1287=	2	Hotchk.
1287=	2	Huds.
1287=	2	Hufnagel
1287=	2	Hugel ex Benth.
1287=	2	J. Gay
1287=	2	J.Muell
1287=	2	Karny
1287=	2	Karst.
1287=	2	Keighery
1287=	2	Kemp
1287=	2	Kitchener, Stoddart & Henry
1287=	2	Kluge
1287=	2	Koch
1287=	2	Krauss
1287=	2	Krug & Urb.
1287=	2	Kuhl & Hasselt
1287=	2	L'Hér. ex Ait.
1287=	2	L. Merr
1287=	2	L.A.S.Johnson & K.D.Hill
1287=	2	Le Guillou
1287=	2	Lee & Main
1287=	2	Lepeschkin
1287=	2	Leske
1287=	2	Lesueur
1287=	2	Lindenmayer <i>et al</i>.
1287=	2	Lindl. & Paxt.
1287=	2	Link.
1287=	2	Linnaeus,
1287=	2	Littlejohn & Martin
1287=	2	Loud.
1287=	2	Lucas
1287=	2	M.Raoul
1287=	2	MacGillivray
1287=	2	Macfie
1287=	2	Martin
1287=	2	Matschie
1287=	2	McDowell
1287=	2	Medik.
1287=	2	Meyrick
1287=	2	Mildbr. & Burret.
1287=	2	Milne-Edwards & Haime
1287=	2	Miquel
1287=	2	Muell.
1287=	2	Muroi
1287=	2	Myers
1287=	2	Neumann
1287=	2	Nuttall & Warburton
1287=	2	Oerst.
1287=	2	Oudemans
1287=	2	P.L.S. Müller
1287=	2	Page
1287=	2	Parl.
1287=	2	Peters & Doria
1287=	2	Pohl.
1287=	2	Procter
1287=	2	R. T. Bak.
1287=	2	R.Br. & Sims
1287=	2	R.Br. Ex Benth.
1287=	2	R.Br. Ex Dryand
1287=	2	R.Br. ex Mirb.
1287=	2	R.Br. ex Sims
1287=	2	R.Feld.
1287=	2	Raddi
1287=	2	Rainbow & Pulleine
1287=	2	Ramsey
1287=	2	Rchb.
1287=	2	Riek
1287=	2	Roger
1287=	2	Roth
1287=	2	Roth.
1287=	2	Roule
1287=	2	Rowland
1287=	2	Rye
1287=	2	S.T. Blake
1287=	2	Saussure
1287=	2	Schau.
1287=	2	Schauer in Lehm.
1287=	2	Schimp. 
1287=	2	Schönland
1287=	2	Sendtn.
1287=	2	Ser.
1287=	2	Sharp
1287=	2	Sheard
1287=	2	Sheppard
1287=	2	Sieb.
1287=	2	Sieber
1287=	2	Siev.
1287=	2	Sim.
1287=	2	Sol. ex Gaertn
1287=	2	Sol.ex Gaertn.
1287=	2	Spencer & Hall
1287=	2	Spin.
1287=	2	Sprague & Summerhayes
1287=	2	Stainton
1287=	2	Steud. 
1287=	2	Straughan
1287=	2	Swinhoe
1287=	2	Temminck & Kuhl
1287=	2	Templeton
1287=	2	Theobald
1287=	2	Thominot
1287=	2	Thompson
1287=	2	Thomson
1287=	2	Thunb
1287=	2	Théel
1287=	2	Troughton
1287=	2	Venhuis
1287=	2	Veron & Wallace
1287=	2	Verrill
1287=	2	Von Martens
1287=	2	Voss
1287=	2	W. Fitzgerald
1287=	2	W.R.B. Oliver
1287=	2	W.R.B.Oliv.
1287=	2	W.S. Macleay
1287=	2	Walp.
1287=	2	Waterhousee
1287=	2	Wendland
1287=	2	Westwood
1287=	2	Whitelegge
1287=	2	Whitlegge
1287=	2	Wight & Arn.
1287=	2	Zeller
1287=	2	de Beaufort
1287=	2	von Pelzeln
1613=	1	(A.DC.) Blume
1613=	1	(Andrews) Steenis
1613=	1	(Baill.) Benth.
1613=	1	(Blanco) Rolfe
1613=	1	(Burm.f.) Rottl. & Willd.
1613=	1	(C.A.Gardner) L.A.S.Johnson
1613=	1	(Cav.) S.T. Blake
1613=	1	(Champ. ex Benth.)
1613=	1	(DC) F. Muell.
1613=	1	(DC) J.G. West
1613=	1	(DC) Randell
1613=	1	(DC.) Baill.
1613=	1	(DC.) J.G.West
1613=	1	(F. Muell.) R. Knuth
1613=	1	(F.Muell. ex Benth.) Radlk.
1613=	1	(F.Muell.) Radlk. 
1613=	1	(F.Muell.) Rye
1613=	1	(Gaertn.)
1613=	1	(Griseb.) J.H.Willis
1613=	1	(Jack) Jacobs
1613=	1	(Kaltenbach)
1613=	1	(L.) Mill.
1613=	1	(L.) Osb
1613=	1	(L.) Willd., Oliv.
1613=	1	(Lam.) A. Rich ex Walp
1613=	1	(Lam.) de Wit[
1613=	1	(Lindl.) Burkill
1613=	1	(Lindl.) K.Schum.
1613=	1	(Lour.)
1613=	1	(R.Br. ex Maiden) Blakely
1613=	1	(R.Br.) B.G.Briggs & Ehrend.
1613=	1	(R.Br.) F. Muell.
1613=	1	(R.Br.ex DC) Hoogland
1613=	1	(S.Moore) Danser
1613=	1	(Savi) Tenore
1613=	1	(Schauer) Craven
1613=	1	(Schneev.)
1613=	1	(Schott & Endl.) Terracino
1613=	1	(Sm.) J.G.West
1613=	1	(Spreng.) Merr.
1613=	1	(T.L.Mitch. ex Lindl.) K.Schum.
1613=	1	(W. Fitzg.)Pedley
1613=	1	(Wangenheim) K. Koch
1613=	1	(Welw.) C. DC.
1613=	1	1775
1613=	1	A. Rich.
1613=	1	A.C. Smith
1613=	1	Allen,
1613=	1	Attems
1613=	1	Baly
1613=	1	Bernard
1613=	1	Bernardi
1613=	1	Bingham
1613=	1	Blackburn
1613=	1	Blecker
1613=	1	Boheman
1613=	1	Boisd.
1613=	1	Bory de Sainte-Vincent
1613=	1	Broussonet
1613=	1	Brunner
1613=	1	Buch.-Ham
1613=	1	Cann
1613=	1	Carlgren
1613=	1	Cav
1613=	1	Champion ex Benth.
1613=	1	Cocco
1613=	1	Cocteau
1613=	1	Crowther, Fautin & Wallace
1613=	1	D. Don
1613=	1	Davies
1613=	1	Dehn.
1613=	1	Dehnhardt
1613=	1	Distant
1613=	1	Dobson
1613=	1	Dresser
1613=	1	Duméril
1613=	1	Duncan
1613=	1	Durazz.
1613=	1	Endlich
1613=	1	Endo
1613=	1	Euphrasen
1613=	1	F. Smith
1613=	1	Finlayson
1613=	1	Forskål
1613=	1	ForsskÂl
1613=	1	Forster <i>in</i> Bloch & Schneider
1613=	1	G. Forst.
1613=	1	Geoffrey
1613=	1	Germar
1613=	1	Gervais & Verreaux
1613=	1	Gill
1613=	1	Gleditsch ex Scop.
1613=	1	Greenfield, Langston & Randall
1613=	1	Guichenot
1613=	1	Gunnerus
1613=	1	Gunther
1613=	1	Haddon & Shackleton
1613=	1	Hamilton-Buchanan
1613=	1	Handlirsch
1613=	1	Hering
1613=	1	Heyne ex Roth
1613=	1	Hiern
1613=	1	Hook.) S.T.Reynolds & R.J.F.Hend.
1613=	1	Horsefield
1613=	1	J. R. Forster & G. Forster
1613=	1	J.C. Fabricius
1613=	1	J.Ellis
1613=	1	J.G.West
1613=	1	J.R.Forst
1613=	1	J.R.Forst.
1613=	1	J.R.Forster & G.Forster
1613=	1	Jones
1613=	1	Jordan & Gilbert
1613=	1	K.Schum
1613=	1	Kaltenbach
1613=	1	Kaup
1613=	1	Kinahan
1613=	1	Kinghorn
1613=	1	Knapp
1613=	1	Kner & Steindacher
1613=	1	Kraenzl.
1613=	1	Kreft
1613=	1	Last & Manjaji-Matsumoto
1613=	1	Last, Chidlow & Compagno
1613=	1	Last, Manjaji & Yearsley
1613=	1	Last, Manjaji-Matsumoto & Pogonoski
1613=	1	Lay & Bennett
1613=	1	Lee
1613=	1	Leisner
1613=	1	Liem & Ingram
1613=	1	Linneaus
1613=	1	Littlejohn
1613=	1	Loefl.
1613=	1	M. Roem
1613=	1	Makushok
1613=	1	Matthews
1613=	1	McGuigan
1613=	1	Merr
1613=	1	Merr.
1613=	1	Middendorff
1613=	1	Müll.Arg.
1613=	1	Nardo
1613=	1	Naumann
1613=	1	Nichols & Raven
1613=	1	Norman
1613=	1	Ooster.
1613=	1	Otte & Alexander
1613=	1	Pascoe
1613=	1	Paulin
1613=	1	Pecotich
1613=	1	Pierre
1613=	1	Portenko
1613=	1	R. T. Baker
1613=	1	R.Br,
1613=	1	R.Br. ex Gaertn.
1613=	1	R.Br. ex Knight
1613=	1	R.S. Cowan & Maslin
1613=	1	R.T. Baker & H.G. Smith
1613=	1	Rehd.et Wils
1613=	1	Rosén
1613=	1	Roxb.) Benth.
1613=	1	Schenkel
1613=	1	Schinz
1613=	1	Schmidt
1613=	1	Serventy
1613=	1	Sjöstedt
1613=	1	Sparrman
1613=	1	Spengler
1613=	1	Standley & L.O.Williams
1613=	1	Stead
1613=	1	Tate
1613=	1	Tourn. ex L.
1613=	1	Versluys
1613=	1	Volkens
1613=	1	W. Archer
1613=	1	W. Hill
1613=	1	White, Last & Compagno
1613=	1	Wollaston
1613=	1	Yemminck
1613=	1	aff. <I>radula</I>
1613=	1	de Saussure

55963	TOTAL
