rank	count	N_GENUS
874=	10	Cosmos
874=	10	Crateva
874=	10	Cydonia
874=	10	Diagramma
874=	10	Dichanthium
874=	10	Dioscorea
874=	10	Dissiliaria
874=	10	Dracaena
874=	10	Epaltes
874=	10	Eriachne
874=	10	Erycibe
874=	10	Eudynamys
874=	10	Evolvulus
874=	10	Fulmarus
874=	10	Girella
874=	10	Grewia
874=	10	Gymnobelideus
874=	10	Halcyon
874=	10	Harpagifer
874=	10	Hemigraphis
874=	10	Heterostemma
874=	10	Hirschfeldia
874=	10	Hymenanthera
874=	10	Hymenosporum
874=	10	Hypoestes
874=	10	Hyptis
874=	10	Joycea
874=	10	Kogia
874=	10	Lavandula
874=	10	Mirounga
874=	10	Nephelium
874=	10	Ocyphaps
874=	10	Pachycephala
874=	10	Paramonacanthus
874=	10	Paropsis
874=	10	Persicaria
874=	10	Persoonia
874=	10	Petrogle
874=	10	Pheidole
874=	10	Phylacium
874=	10	Phyllurus
874=	10	Pileanthus
874=	10	Plegadis
874=	10	Pocillopora
874=	10	Porphyrio
874=	10	Pseudochirops
874=	10	Pseudorhombus
874=	10	Ptilinopus
874=	10	Randia
874=	10	Reseda
874=	10	Rhabdosargus
874=	10	Rheum
874=	10	Rhodanthe
874=	10	Rhyncharrhena
874=	10	Rivea
874=	10	Rostellularia
874=	10	Rumex
874=	10	Russelia
874=	10	Saccostrea
874=	10	Saurida
874=	10	Scatophagus
874=	10	Schedorhinotermes
874=	10	Sisymbrium
874=	10	Soleirolia
874=	10	Squalus
874=	10	Stachytarpheta
874=	10	Strobilanthes
874=	10	Synedrella
874=	10	Telopea
874=	10	Teucrium
874=	10	Thalassoma
874=	10	Thespesia
874=	10	Thunbergia
874=	10	Trachurus
874=	10	Tringa
874=	10	Tropaeolum
874=	10	Uncinia
874=	10	Xiphias
874=	10	Ziziphus
874=	10	Zosterops
967=	9	Agrostis
967=	9	Alectoris
967=	9	Allophyllus
967=	9	Alnus
967=	9	Aloe
967=	9	Amylotheca
967=	9	Anhinga
967=	9	Aotus
967=	9	Aptenodytes
967=	9	Ardenna
967=	9	Atherinomorus
967=	9	Austrelaps 
967=	9	Benthamina
967=	9	Carissa
967=	9	Caryota
967=	9	Centropus
967=	9	Ceratozamia
967=	9	Chrysanthemum
967=	9	Cladium
967=	9	Cyclodomorphus
967=	9	Dacus
967=	9	Denisonia
967=	9	Dicrurus
967=	9	Dipogon
967=	9	Drynaria
967=	9	Elaeagnus
967=	9	Embelia
967=	9	Engraulis
967=	9	Eragrostis
967=	9	Eurystomus
967=	9	Eutaxia
967=	9	Gambusia
967=	9	Gastrolobium 
967=	9	Globicephala
967=	9	Glyptotermes
967=	9	Gompholobium
967=	9	Halobaena
967=	9	Hemibelideus
967=	9	Istiblennius
967=	9	Johnius
967=	9	Malleostemon
967=	9	Megaptera
967=	9	Mola
967=	9	Neoarius
967=	9	Neosilurus
967=	9	Nycticorax
967=	9	Oplegnathus
967=	9	Oxycheilinus
967=	9	Pagrus
967=	9	Parinari
967=	9	Phylidonyris
967=	9	Platylobium
967=	9	Pleiogynium
967=	9	Poecilia
967=	9	Pomatomus
967=	9	Porzana
967=	9	Pseudechis 
967=	9	Ptilonorhynchus
967=	9	Pyrethrum
967=	9	Rhinella
967=	9	Ristantia
967=	9	Saraca
967=	9	Schotia
967=	9	Strophurus
967=	9	Struthio
967=	9	Tetrapturus
967=	9	Trichospermum
967=	9	Trigonella
967=	9	Turdus
967=	9	Vandasina
967=	9	Ventilago
1038=	8	Aleurites
1038=	8	Allium
1038=	8	Arius
1038=	8	Artamus
1038=	8	Asparagus
1038=	8	Atherinosoma
1038=	8	Blephocarya
1038=	8	Bryophyllum
1038=	8	Caesio
1038=	8	Chalinolobus
1038=	8	Choisya
1038=	8	Citrullus
1038=	8	Colluricincla
1038=	8	Crataegus
1038=	8	Crocodilus 
1038=	8	Cucumis
1038=	8	Echeneis
1038=	8	Eriocereus
1038=	8	Erythrophleum
