rank	count	N_EPITHET_NAME
614=	6	Noisy Friarbird, Leatherhead
614=	6	Norfolk Island Pigeon
614=	6	Northern Bettong
614=	6	Ocean Sunfish
614=	6	Painted Burrowing Frog
614=	6	Palm Cockatoo
614=	6	Pawpaw, Papaya
614=	6	Peanut
614=	6	Peewit, Peewee, Australian Magpie Lark
614=	6	Peregrine Falcon
614=	6	Pied Butcherbird
614=	6	Pied Cormorant
614=	6	Pigeon Pea
614=	6	Plunkett Mallee
614=	6	Poplar Box
614=	6	Prickly Pear
614=	6	Raspberry
614=	6	Red Fox
614=	6	Red Knot
614=	6	Red-backed Toadlet
614=	6	Red-capped Parrot
614=	6	Reptile Tick
614=	6	Reticulated Python
614=	6	Ridge-fruited Mallee
614=	6	Rock Pigeon
614=	6	Rosella
614=	6	Sailfish
614=	6	Saltbush
614=	6	Salvin's Prion
614=	6	Sandplain Mallee
614=	6	Sapphire Devil
614=	6	She-Oak
614=	6	Sheoak
614=	6	Short-necked Tortoise
614=	6	Silvereye
614=	6	Southern Brown Bandicoot, Quenda
614=	6	Southern Orange-lined Cardinal Fish
614=	6	Spiny Chromis, Spiny Puller
614=	6	Spotted Mackerel
614=	6	Staghorn Coral
614=	6	Sugar Gum
614=	6	Sweeper
614=	6	Swift Parrot
614=	6	Sydney Rock Oyster, Moreton Bay Rock Oyster
614=	6	Tasmanian Froglet
614=	6	Threadfin Butterflyfish
614=	6	Thumbprint Emperor
614=	6	Tobacco
614=	6	Torrent Tree Frog
614=	6	Trout Cod
614=	6	Tumbledown Gum
614=	6	Turnip
614=	6	Valencia Orange
614=	6	Ward’s Damsel
614=	6	Water Pepper
614=	6	Western Blue-tongue
614=	6	Western Myall
614=	6	White Damsel
614=	6	White-winged Chough
614=	6	Whitelegg’s Weedfish
614=	6	Whitetail Dascyllus
614=	6	White’s Skink
614=	6	White’s Thrush, Mountain Thrush, Ground Thrush
614=	6	Wompoo Fruit-Dove
614=	6	Wood Frog
614=	6	Yellow-billed Spoonbill
614=	6	Yellow-spotted Monitor
614=	6	Yellow-tailed Black-Cockatoo
614=	6	hoop-pine stitch beetle
614=	6	lime
614=	6	python
767=	5	Apostlebird
767=	5	Australasian Grebe
767=	5	Australian Bream
767=	5	Australian Butterfly Ray
767=	5	Australian Fur-seal
767=	5	Australian Lungfish
767=	5	Australian Owlet-nightjar
767=	5	Australian Plague Locust
767=	5	Australian Sea-lion
767=	5	Banana Prawn
767=	5	Banded Stingaree
767=	5	Bar-tailed Godwit
767=	5	Black Flying-fox
767=	5	Blackwood
767=	5	Blue Mackerel
767=	5	Bottlenose Dolphin
767=	5	Brisbane River Turtle
767=	5	Brown House Mosquito
767=	5	Bush Rat, Allied Rat
767=	5	Carpet Python, Diamond Python
767=	5	Central Military Dragon 
767=	5	Cocky Gurnard
767=	5	Common Eastern Froglet
767=	5	Common Planigale
767=	5	Common Rock-rat
767=	5	Coot
767=	5	Dunn's White Gum
767=	5	Dusky Rockcod
767=	5	Eastern Brown Snake
767=	5	Eastern Rainbowfish
767=	5	Eastern Snake, Mainland Tiger Snake
767=	5	Fat-tailed Pseudantechinus
767=	5	Fawn Antechinus
767=	5	Fiji fan palm
767=	5	Forest Grass Tree
767=	5	Geraldton Wax
767=	5	Giant Tree Frog
767=	5	Golden Wattle
767=	5	Goldlined Rabbitfish
767=	5	Gould’s Goanna, Sand Monitor
767=	5	Great Crested Grebe
767=	5	Grey Falcon
767=	5	Grey Reef Shark
767=	5	Grey-headed Flying-fox
767=	5	Groundsel
767=	5	Herbert River Ringtail Possum
767=	5	Karri
767=	5	Kimberley Bearded Dragon
767=	5	Kimberley Rock Monitor
767=	5	King Penguin
767=	5	Leathery Grunter
767=	5	Leopard Coral Trout
767=	5	Loggerhead Turtle
767=	5	Long-fruited Bloodwood
767=	5	Macaroni Penguin
767=	5	Mallard
767=	5	Mareeba Rock Wallaby
767=	5	Mawson's Dragonfish
767=	5	Melbourne Skate
767=	5	Mung Bean
767=	5	Mute Swan
767=	5	Narrow-Leaved Apple
767=	5	Northern Brown Snake
767=	5	Northern Giant-Petrel
767=	5	Northern Sand Flathead
767=	5	Oblong Turtle
767=	5	Pike Head Hardyhead
767=	5	Prosperpine Rock-wallaby
767=	5	Pufferfish
767=	5	Quoll
767=	5	Rambutan
767=	5	Red-tailed Tropicbird
767=	5	Regent Bowerbird
767=	5	School Shark
767=	5	Short Snout Hardyhead
767=	5	Short-eared Brushtail Possum
767=	5	Short-finned Pilot Whale
767=	5	Siamang
767=	5	Small Scale Hardyhead
767=	5	South Polar Skua
767=	5	Spinifex Slender Blue-tongue
767=	5	Spotted Bigeye
767=	5	Spotted Tree Monitor
767=	5	Starfish
767=	5	Tailor
767=	5	Thorny Devil
767=	5	Tristan Albatross
767=	5	Tusked Frog
767=	5	Watermelon
767=	5	Weeping Toadfish
767=	5	White Footed Dunnart
767=	5	White-backed Magpie
767=	5	White-bellied Storm-Petrel
767=	5	Yellow Mallee
767=	5	blue lilly-pilly
767=	5	blueberry
767=	5	buckthorn
767=	5	flame tree, broad-leaved bottletree
767=	5	grapefruit
767=	5	gum trees
767=	5	jackfruit
767=	5	jute
767=	5	kaki, Japanese persimmon, Oriental persimmon, Sharon Fruit
767=	5	kumquat
767=	5	nectarine
767=	5	peach
767=	5	pine
767=	5	robusta coffee
767=	5	shaddock, Thai grapefruit (English)
767=	5	species uncertain
767=	5	triangle palm
767=	5	yellow tulip-wood
879=	4	Adelie Penguin
879=	4	African Clawed Frog
879=	4	Amoebae
879=	4	Argyle Apple
879=	4	Australasian Gannet
879=	4	Australian Angelshark
879=	4	Australian Hobby
879=	4	Australian King-parrot
879=	4	Australian Magpie
879=	4	Australian Malaria Mosquito
879=	4	Barn Swallow
879=	4	Barramundi
879=	4	Bassian Thrush
879=	4	Bean
879=	4	Beetroot
879=	4	Black Australian Anopheline
879=	4	Black Catfish
879=	4	Black Pomfret
879=	4	Black Rabbitfish
879=	4	Black She-Oak
879=	4	Black Whipsnake
879=	4	Blotched Blue-tongue
879=	4	Blue Bonnet
879=	4	Blue Grenadier
879=	4	Blue-billed Duck
879=	4	Bluebell Creeper
879=	4	Bluespotted Maskray
879=	4	Boobook Owl
879=	4	Branching Coral
879=	4	Bridle Frog
879=	4	Brier Shark
879=	4	Brown Tree Snake 
879=	4	Buff-banded Rail
879=	4	Buffalo Grass
879=	4	Bushland
879=	4	Callous-palmed Shinning-skink
879=	4	Cashew
879=	4	Caspian Tern
879=	4	Cattle Tick
879=	4	Cauliflower Coral
879=	4	Central Netted Dragon
879=	4	Choko
879=	4	Citron Butterflyfish
879=	4	Coal Grunter
879=	4	Cockatiel
879=	4	Coffee
879=	4	Coffin Ray
879=	4	Common Australian Anopheline
879=	4	Common Prickly Pear
879=	4	Coolabah
879=	4	Cootamundra Wattle
879=	4	Corky Passion Flower
879=	4	Crest-tailed Mulgara
879=	4	Day’s Frog
879=	4	Desert Lime, Native Orange
879=	4	Domestic Goose
879=	4	Donkey
879=	4	Dusky Surgeonfish, Brown Surgeonfish
879=	4	Earthworm
879=	4	Easter Cassia
879=	4	Eastern Horseshoe-bat
879=	4	Eastern Mourning Skink
879=	4	Eastern Reef Egret
879=	4	Eclectus Parrot
879=	4	Emperor Penguin
879=	4	Empire Gudgeon
879=	4	Eurasian Blackbird
879=	4	European Carp
879=	4	False Stonefish
879=	4	Fine Side-lined Ctenotus
879=	4	Finger Lime
879=	4	Fiordland Penguin
879=	4	Firetailed Gudgeon
879=	4	Fourteen-lined Ctenotus
879=	4	Freshwater Crayfish
879=	4	Gidgee Skink
879=	4	Gilbert’s Potoroo
879=	4	Gilgy
879=	4	Glory Wattle, Pillaga Wattle, Mudgee Wattle
879=	4	Goblin Shark
879=	4	Golden Shower
879=	4	Golden Wattle, Broad-leaved Wattle
879=	4	Goosberry Mallee
