rank	count	NAME_LSID
189=	45	urn:lsid:biodiversity.org.au:afd.name:544401
189=	45	urn:lsid:biodiversity.org.au:afd.name:547903
189=	45	urn:lsid:biodiversity.org.au:afd.name:556006
207=	44	urn:lsid:biodiversity.org.au:afd.name:393227
207=	44	urn:lsid:biodiversity.org.au:afd.name:409082
207=	44	urn:lsid:biodiversity.org.au:afd.name:535239
210=	42	urn:lsid:biodiversity.org.au:afd.name:356343
210=	42	urn:lsid:biodiversity.org.au:afd.name:391219
210=	42	urn:lsid:biodiversity.org.au:afd.name:394931
210=	42	urn:lsid:biodiversity.org.au:afd.name:420399
210=	42	urn:lsid:biodiversity.org.au:afd.name:427306
210=	42	urn:lsid:biodiversity.org.au:afd.name:438909
210=	42	urn:lsid:biodiversity.org.au:afd.name:439031
210=	42	urn:lsid:biodiversity.org.au:afd.name:439558
210=	42	urn:lsid:biodiversity.org.au:afd.name:444610
210=	42	urn:lsid:biodiversity.org.au:afd.name:453270
210=	42	urn:lsid:biodiversity.org.au:afd.name:564208
210=	42	urn:lsid:biodiversity.org.au:afd.name:565732
210=	42	urn:lsid:biodiversity.org.au:afd.name:584533
223=	40	urn:lsid:biodiversity.org.au:afd.name:330034
223=	40	urn:lsid:biodiversity.org.au:afd.name:343243
223=	40	urn:lsid:biodiversity.org.au:afd.name:344665
223=	40	urn:lsid:biodiversity.org.au:afd.name:347015
223=	40	urn:lsid:biodiversity.org.au:afd.name:365960
223=	40	urn:lsid:biodiversity.org.au:afd.name:380201
223=	40	urn:lsid:biodiversity.org.au:afd.name:383064
223=	40	urn:lsid:biodiversity.org.au:afd.name:397457
223=	40	urn:lsid:biodiversity.org.au:afd.name:397908
223=	40	urn:lsid:biodiversity.org.au:afd.name:399941
223=	40	urn:lsid:biodiversity.org.au:afd.name:430905
223=	40	urn:lsid:biodiversity.org.au:afd.name:452560
235=	39	urn:lsid:biodiversity.org.au:afd.name:344151
235=	39	urn:lsid:biodiversity.org.au:afd.name:493626
235=	39	urn:lsid:biodiversity.org.au:afd.name:584363
238	38	urn:lsid:biodiversity.org.au:afd.name:564393
239	37	urn:lsid:biodiversity.org.au:afd.name:559919
240=	36	urn:lsid:biodiversity.org.au:afd.name:284270
240=	36	urn:lsid:biodiversity.org.au:afd.name:303269
240=	36	urn:lsid:biodiversity.org.au:afd.name:308120
240=	36	urn:lsid:biodiversity.org.au:afd.name:308670
240=	36	urn:lsid:biodiversity.org.au:afd.name:323067
240=	36	urn:lsid:biodiversity.org.au:afd.name:329398
240=	36	urn:lsid:biodiversity.org.au:afd.name:332747
240=	36	urn:lsid:biodiversity.org.au:afd.name:344760
240=	36	urn:lsid:biodiversity.org.au:afd.name:344897
240=	36	urn:lsid:biodiversity.org.au:afd.name:347739
240=	36	urn:lsid:biodiversity.org.au:afd.name:348831
240=	36	urn:lsid:biodiversity.org.au:afd.name:354006
240=	36	urn:lsid:biodiversity.org.au:afd.name:356972
240=	36	urn:lsid:biodiversity.org.au:afd.name:357269
240=	36	urn:lsid:biodiversity.org.au:afd.name:360928
240=	36	urn:lsid:biodiversity.org.au:afd.name:365507
240=	36	urn:lsid:biodiversity.org.au:afd.name:365988
240=	36	urn:lsid:biodiversity.org.au:afd.name:372933
240=	36	urn:lsid:biodiversity.org.au:afd.name:380733
240=	36	urn:lsid:biodiversity.org.au:afd.name:380734
240=	36	urn:lsid:biodiversity.org.au:afd.name:383503
240=	36	urn:lsid:biodiversity.org.au:afd.name:386413
240=	36	urn:lsid:biodiversity.org.au:afd.name:387412
240=	36	urn:lsid:biodiversity.org.au:afd.name:393151
240=	36	urn:lsid:biodiversity.org.au:afd.name:393963
240=	36	urn:lsid:biodiversity.org.au:afd.name:406933
240=	36	urn:lsid:biodiversity.org.au:afd.name:429157
240=	36	urn:lsid:biodiversity.org.au:afd.name:430059
240=	36	urn:lsid:biodiversity.org.au:afd.name:438213
240=	36	urn:lsid:biodiversity.org.au:afd.name:438697
240=	36	urn:lsid:biodiversity.org.au:afd.name:442557
240=	36	urn:lsid:biodiversity.org.au:afd.name:442757
240=	36	urn:lsid:biodiversity.org.au:afd.name:451216
240=	36	urn:lsid:biodiversity.org.au:afd.name:493276
240=	36	urn:lsid:biodiversity.org.au:afd.name:536208
240=	36	urn:lsid:biodiversity.org.au:afd.name:543730
240=	36	urn:lsid:biodiversity.org.au:afd.name:585724
277=	35	urn:lsid:biodiversity.org.au:afd.name:342969
277=	35	urn:lsid:biodiversity.org.au:afd.name:363374
277=	35	urn:lsid:biodiversity.org.au:afd.name:394441
277=	35	urn:lsid:biodiversity.org.au:afd.name:431090
277=	35	urn:lsid:biodiversity.org.au:afd.name:444895
277=	35	urn:lsid:biodiversity.org.au:afd.name:454127
277=	35	urn:lsid:biodiversity.org.au:afd.name:454336
277=	35	urn:lsid:biodiversity.org.au:afd.name:455969
277=	35	urn:lsid:biodiversity.org.au:afd.name:458174
277=	35	urn:lsid:biodiversity.org.au:afd.name:464636
277=	35	urn:lsid:biodiversity.org.au:afd.name:464639
277=	35	urn:lsid:biodiversity.org.au:afd.name:465825
277=	35	urn:lsid:biodiversity.org.au:afd.name:504368
290=	34	urn:lsid:biodiversity.org.au:afd.name:359328
290=	34	urn:lsid:biodiversity.org.au:afd.name:467812
290=	34	urn:lsid:biodiversity.org.au:afd.name:536205
290=	34	urn:lsid:biodiversity.org.au:afd.name:553523
290=	34	urn:lsid:biodiversity.org.au:afd.name:561591
290=	34	urn:lsid:biodiversity.org.au:afd.name:564416
296=	33	urn:lsid:biodiversity.org.au:afd.name:349133
296=	33	urn:lsid:biodiversity.org.au:afd.name:417820
296=	33	urn:lsid:biodiversity.org.au:afd.name:502624
296=	33	urn:lsid:biodiversity.org.au:afd.name:535850
296=	33	urn:lsid:biodiversity.org.au:afd.name:559944
296=	33	urn:lsid:biodiversity.org.au:afd.name:584448
302=	32	urn:lsid:biodiversity.org.au:afd.name:548495
302=	32	urn:lsid:biodiversity.org.au:afd.name:561538
302=	32	urn:lsid:biodiversity.org.au:afd.name:563108
305=	31	urn:lsid:biodiversity.org.au:afd.name:549312
305=	31	urn:lsid:biodiversity.org.au:afd.name:562874
307=	30	urn:lsid:biodiversity.org.au:afd.name:273706
307=	30	urn:lsid:biodiversity.org.au:afd.name:290689
307=	30	urn:lsid:biodiversity.org.au:afd.name:293825
307=	30	urn:lsid:biodiversity.org.au:afd.name:298260
307=	30	urn:lsid:biodiversity.org.au:afd.name:299738
307=	30	urn:lsid:biodiversity.org.au:afd.name:301442
307=	30	urn:lsid:biodiversity.org.au:afd.name:302806
307=	30	urn:lsid:biodiversity.org.au:afd.name:303036
307=	30	urn:lsid:biodiversity.org.au:afd.name:306152
307=	30	urn:lsid:biodiversity.org.au:afd.name:306780
307=	30	urn:lsid:biodiversity.org.au:afd.name:308669
307=	30	urn:lsid:biodiversity.org.au:afd.name:315182
307=	30	urn:lsid:biodiversity.org.au:afd.name:320319
307=	30	urn:lsid:biodiversity.org.au:afd.name:326104
307=	30	urn:lsid:biodiversity.org.au:afd.name:344672
307=	30	urn:lsid:biodiversity.org.au:afd.name:362041
307=	30	urn:lsid:biodiversity.org.au:afd.name:362681
307=	30	urn:lsid:biodiversity.org.au:afd.name:366400
307=	30	urn:lsid:biodiversity.org.au:afd.name:384494
307=	30	urn:lsid:biodiversity.org.au:afd.name:401281
307=	30	urn:lsid:biodiversity.org.au:afd.name:415135
307=	30	urn:lsid:biodiversity.org.au:afd.name:417126
307=	30	urn:lsid:biodiversity.org.au:afd.name:420143
307=	30	urn:lsid:biodiversity.org.au:afd.name:423262
307=	30	urn:lsid:biodiversity.org.au:afd.name:428990
307=	30	urn:lsid:biodiversity.org.au:afd.name:435100
307=	30	urn:lsid:biodiversity.org.au:afd.name:444446
307=	30	urn:lsid:biodiversity.org.au:afd.name:445649
307=	30	urn:lsid:biodiversity.org.au:afd.name:446537
307=	30	urn:lsid:biodiversity.org.au:afd.name:456608
307=	30	urn:lsid:biodiversity.org.au:afd.name:561270
307=	30	urn:lsid:biodiversity.org.au:afd.name:561704
307=	30	urn:lsid:biodiversity.org.au:afd.name:563123
307=	30	urn:lsid:biodiversity.org.au:afd.name:583699
341=	28	urn:lsid:biodiversity.org.au:afd.name:319325
341=	28	urn:lsid:biodiversity.org.au:afd.name:320622
341=	28	urn:lsid:biodiversity.org.au:afd.name:321097
341=	28	urn:lsid:biodiversity.org.au:afd.name:327034
341=	28	urn:lsid:biodiversity.org.au:afd.name:349528
341=	28	urn:lsid:biodiversity.org.au:afd.name:353124
341=	28	urn:lsid:biodiversity.org.au:afd.name:363024
341=	28	urn:lsid:biodiversity.org.au:afd.name:363225
341=	28	urn:lsid:biodiversity.org.au:afd.name:373351
341=	28	urn:lsid:biodiversity.org.au:afd.name:379004
341=	28	urn:lsid:biodiversity.org.au:afd.name:400172
341=	28	urn:lsid:biodiversity.org.au:afd.name:407249
341=	28	urn:lsid:biodiversity.org.au:afd.name:407432
341=	28	urn:lsid:biodiversity.org.au:afd.name:420890
341=	28	urn:lsid:biodiversity.org.au:afd.name:421241
341=	28	urn:lsid:biodiversity.org.au:afd.name:426448
341=	28	urn:lsid:biodiversity.org.au:afd.name:438442
341=	28	urn:lsid:biodiversity.org.au:afd.name:438628
341=	28	urn:lsid:biodiversity.org.au:afd.name:444415
341=	28	urn:lsid:biodiversity.org.au:afd.name:452129
341=	28	urn:lsid:biodiversity.org.au:afd.name:453529
341=	28	urn:lsid:biodiversity.org.au:afd.name:453537
341=	28	urn:lsid:biodiversity.org.au:afd.name:460010
341=	28	urn:lsid:biodiversity.org.au:afd.name:461689
341=	28	urn:lsid:biodiversity.org.au:afd.name:464644
341=	28	urn:lsid:biodiversity.org.au:afd.name:509165
341=	28	urn:lsid:biodiversity.org.au:afd.name:545553
341=	28	urn:lsid:biodiversity.org.au:afd.name:556779
341=	28	urn:lsid:biodiversity.org.au:afd.name:581081
341=	28	urn:lsid:biodiversity.org.au:afd.name:583213
341=	28	urn:lsid:biodiversity.org.au:afd.name:588422
372=	27	urn:lsid:biodiversity.org.au:afd.name:266315
372=	27	urn:lsid:biodiversity.org.au:afd.name:290570
372=	27	urn:lsid:biodiversity.org.au:afd.name:293004
372=	27	urn:lsid:biodiversity.org.au:afd.name:304141
372=	27	urn:lsid:biodiversity.org.au:afd.name:308504
372=	27	urn:lsid:biodiversity.org.au:afd.name:310702
