name	family	interaction	host name	host family	source
Abbreviata melanesiensis	Heterakidae	Associate:Consumer:Parasite	Varanus indicus	Varanidae	http://biodiversity.org.au/afd/taxa/8093abba-57f8-43e2-aba5-6d63fbe24eaf	
Abbreviata occidentalis	Heterakidae	Associate:Consumer:Parasite	Pseudechis australis	Elapidae	http://biodiversity.org.au/afd/taxa/75d8364c-5ad1-4cb1-a62d-2fb8b98e3132	
Abbreviata perenticola	Heterakidae	Associate:Consumer:Parasite	Varanus giganteus	Varanidae	http://biodiversity.org.au/afd/taxa/cb12cf43-4cd9-4e98-aa55-71a62cb188b3	
Abbreviata pilbarensis	Heterakidae	Associate:Consumer:Parasite	Pogona minor	Agamidae	http://biodiversity.org.au/afd/taxa/56e3ceb8-c921-4263-8f29-8aef5e6e9652	
Abbreviata tumidocapitis	Heterakidae	Associate:Consumer:Parasite	Ctenophorus isolepis	Agamidae	http://biodiversity.org.au/afd/taxa/dcdf54e8-5ba2-40c3-8db4-07f5e2fca77b	
Abbreviata tumidocapitis	Heterakidae	Associate:Consumer:Parasite	Diplodactylus conspicillatus	Gekkonidae	http://biodiversity.org.au/afd/taxa/dcdf54e8-5ba2-40c3-8db4-07f5e2fca77b	
Abbreviata tumidocapitis	Heterakidae	Associate:Consumer:Parasite	Tiliqua multifasciata	Scincidae	http://biodiversity.org.au/afd/taxa/dcdf54e8-5ba2-40c3-8db4-07f5e2fca77b	
Abbreviata tumidocapitis	Heterakidae	Associate:Consumer:Parasite	Varanus eremius	Varanidae	http://biodiversity.org.au/afd/taxa/dcdf54e8-5ba2-40c3-8db4-07f5e2fca77b	
Abbreviata tumidocapitis	Heterakidae	Associate:Consumer:Parasite	Varanus giganteus	Varanidae	http://biodiversity.org.au/afd/taxa/dcdf54e8-5ba2-40c3-8db4-07f5e2fca77b	
Abbreviata tumidocapitis	Heterakidae	Associate:Consumer:Parasite	Varanus gouldii	Varanidae	http://biodiversity.org.au/afd/taxa/dcdf54e8-5ba2-40c3-8db4-07f5e2fca77b	
Abbreviata tumidocapitis	Heterakidae	Associate:Consumer:Parasite	Varanus panoptes	Varanidae	http://biodiversity.org.au/afd/taxa/dcdf54e8-5ba2-40c3-8db4-07f5e2fca77b	
Abbreviata tumidocapitis	Heterakidae	Associate:Consumer:Parasite	Varanus rosenbergi	Varanidae	http://biodiversity.org.au/afd/taxa/dcdf54e8-5ba2-40c3-8db4-07f5e2fca77b	
Abbreviata tumidocapitis	Heterakidae	Associate:Consumer:Parasite	Varanus tristis	Varanidae	http://biodiversity.org.au/afd/taxa/dcdf54e8-5ba2-40c3-8db4-07f5e2fca77b	
Abbreviata varani	Heterakidae	Associate:Consumer:Parasite	Varanus gouldii	Varanidae	http://biodiversity.org.au/afd/taxa/aae36ca2-0e15-4102-8af7-0b95db2f207f	
Abbreviata varani	Heterakidae	Associate:Consumer:Parasite	Varanus varius	Varanidae	http://biodiversity.org.au/afd/taxa/aae36ca2-0e15-4102-8af7-0b95db2f207f	
Acalyphes philorites	Geometridae	Associate:Consumer:Herbivore	Athrotaxis cupressoides	Cupressaceae	http://biodiversity.org.au/afd/taxa/dda2d342-2554-4ff1-a19c-d46141e4553f
Acanthamoeba lenticulata	Acanthamoebidae	Associate:Consumer:Parasite:Endoparasite	Acanthamoeba lenticulata	Acanthamoebidae	http://biodiversity.org.au/afd/taxa/ce27c3e6-1f59-4654-91da-5e2ae11826f7
Acanthobothrium adlardi	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Dasyatis brevicaudata	Dasyatidae	http://biodiversity.org.au/afd/taxa/17a64cd9-ad29-4c1e-89af-32246c0b460a
Acanthobothrium adlardi	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Dipturus cerva	Rajidae	http://biodiversity.org.au/afd/taxa/17a64cd9-ad29-4c1e-89af-32246c0b460a
Acanthobothrium adlardi	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Pristiophorus cirratus	Pristiophoridae	http://biodiversity.org.au/afd/taxa/17a64cd9-ad29-4c1e-89af-32246c0b460a
Acanthobothrium adlardi	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Trygonorrhina fasciata	Rhinobatidae	http://biodiversity.org.au/afd/taxa/17a64cd9-ad29-4c1e-89af-32246c0b460a
Acanthobothrium adlardi	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Urolophus expansus	Urolophidae	http://biodiversity.org.au/afd/taxa/17a64cd9-ad29-4c1e-89af-32246c0b460a
Acanthobothrium adlardi	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Urolophus lobatus	Urolophidae	http://biodiversity.org.au/afd/taxa/17a64cd9-ad29-4c1e-89af-32246c0b460a
Acanthobothrium adlardi	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Urolophus paucimaculatus	Urolophidae	http://biodiversity.org.au/afd/taxa/17a64cd9-ad29-4c1e-89af-32246c0b460a
Acanthobothrium angelae	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Hypnos monopterygius	Hypnidae	http://biodiversity.org.au/afd/taxa/b9e39811-f3bc-4df4-a896-041adcb0daac
Acanthobothrium angelae	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Sutorectus tentaculatus	Orectolobidae	http://biodiversity.org.au/afd/taxa/b9e39811-f3bc-4df4-a896-041adcb0daac
Acanthobothrium australe	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Squalus megalops	Squalidae	http://biodiversity.org.au/afd/taxa/3571c23a-1739-4b67-b9e1-fc95db6db346
Acanthobothrium bartonae	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Rhynchobatus	Rhynchobatidae	http://biodiversity.org.au/afd/taxa/2c9cebaf-44c5-4ce6-8007-eb6f50775a73
