rank	count	URI
323=	10	http://biodiversity.org.au/afd.name/324307
323=	10	http://biodiversity.org.au/afd.name/325448
323=	10	http://biodiversity.org.au/afd.name/328154
323=	10	http://biodiversity.org.au/afd.name/330524
323=	10	http://biodiversity.org.au/afd.name/333025
323=	10	http://biodiversity.org.au/afd.name/335670
323=	10	http://biodiversity.org.au/afd.name/336327
323=	10	http://biodiversity.org.au/afd.name/340696
323=	10	http://biodiversity.org.au/afd.name/342461
323=	10	http://biodiversity.org.au/afd.name/343336
323=	10	http://biodiversity.org.au/afd.name/349065
323=	10	http://biodiversity.org.au/afd.name/349183
323=	10	http://biodiversity.org.au/afd.name/349185
323=	10	http://biodiversity.org.au/afd.name/349477
323=	10	http://biodiversity.org.au/afd.name/350185
323=	10	http://biodiversity.org.au/afd.name/351207
323=	10	http://biodiversity.org.au/afd.name/353600
323=	10	http://biodiversity.org.au/afd.name/354994
323=	10	http://biodiversity.org.au/afd.name/354995
323=	10	http://biodiversity.org.au/afd.name/354996
323=	10	http://biodiversity.org.au/afd.name/357757
323=	10	http://biodiversity.org.au/afd.name/358506
323=	10	http://biodiversity.org.au/afd.name/358799
323=	10	http://biodiversity.org.au/afd.name/358800
323=	10	http://biodiversity.org.au/afd.name/365431
323=	10	http://biodiversity.org.au/afd.name/367440
323=	10	http://biodiversity.org.au/afd.name/368720
323=	10	http://biodiversity.org.au/afd.name/369094
323=	10	http://biodiversity.org.au/afd.name/376947
323=	10	http://biodiversity.org.au/afd.name/379284
323=	10	http://biodiversity.org.au/afd.name/379285
323=	10	http://biodiversity.org.au/afd.name/381217
323=	10	http://biodiversity.org.au/afd.name/381715
323=	10	http://biodiversity.org.au/afd.name/382293
323=	10	http://biodiversity.org.au/afd.name/387476
323=	10	http://biodiversity.org.au/afd.name/388089
323=	10	http://biodiversity.org.au/afd.name/390753
323=	10	http://biodiversity.org.au/afd.name/391085
323=	10	http://biodiversity.org.au/afd.name/391272
323=	10	http://biodiversity.org.au/afd.name/392277
323=	10	http://biodiversity.org.au/afd.name/393522
323=	10	http://biodiversity.org.au/afd.name/395106
323=	10	http://biodiversity.org.au/afd.name/395150
323=	10	http://biodiversity.org.au/afd.name/397795
323=	10	http://biodiversity.org.au/afd.name/400814
323=	10	http://biodiversity.org.au/afd.name/400816
323=	10	http://biodiversity.org.au/afd.name/401049
323=	10	http://biodiversity.org.au/afd.name/401907
323=	10	http://biodiversity.org.au/afd.name/402560
323=	10	http://biodiversity.org.au/afd.name/404415
323=	10	http://biodiversity.org.au/afd.name/404733
323=	10	http://biodiversity.org.au/afd.name/406898
323=	10	http://biodiversity.org.au/afd.name/408462
323=	10	http://biodiversity.org.au/afd.name/409236
323=	10	http://biodiversity.org.au/afd.name/410536
323=	10	http://biodiversity.org.au/afd.name/410598
323=	10	http://biodiversity.org.au/afd.name/411161
323=	10	http://biodiversity.org.au/afd.name/411892
323=	10	http://biodiversity.org.au/afd.name/412833
323=	10	http://biodiversity.org.au/afd.name/413291
323=	10	http://biodiversity.org.au/afd.name/415855
323=	10	http://biodiversity.org.au/afd.name/417095
323=	10	http://biodiversity.org.au/afd.name/417394
323=	10	http://biodiversity.org.au/afd.name/417878
323=	10	http://biodiversity.org.au/afd.name/418286
323=	10	http://biodiversity.org.au/afd.name/418287
323=	10	http://biodiversity.org.au/afd.name/418855
323=	10	http://biodiversity.org.au/afd.name/419131
323=	10	http://biodiversity.org.au/afd.name/419528
323=	10	http://biodiversity.org.au/afd.name/419934
323=	10	http://biodiversity.org.au/afd.name/422704
323=	10	http://biodiversity.org.au/afd.name/423975
323=	10	http://biodiversity.org.au/afd.name/425799
323=	10	http://biodiversity.org.au/afd.name/428302
323=	10	http://biodiversity.org.au/afd.name/428701
323=	10	http://biodiversity.org.au/afd.name/428734
323=	10	http://biodiversity.org.au/afd.name/432727
323=	10	http://biodiversity.org.au/afd.name/432809
323=	10	http://biodiversity.org.au/afd.name/432985
323=	10	http://biodiversity.org.au/afd.name/433886
323=	10	http://biodiversity.org.au/afd.name/434271
323=	10	http://biodiversity.org.au/afd.name/435119
323=	10	http://biodiversity.org.au/afd.name/435187
323=	10	http://biodiversity.org.au/afd.name/435680
323=	10	http://biodiversity.org.au/afd.name/437678
323=	10	http://biodiversity.org.au/afd.name/438564
323=	10	http://biodiversity.org.au/afd.name/441353
323=	10	http://biodiversity.org.au/afd.name/441370
323=	10	http://biodiversity.org.au/afd.name/441972
323=	10	http://biodiversity.org.au/afd.name/442461
323=	10	http://biodiversity.org.au/afd.name/443626
323=	10	http://biodiversity.org.au/afd.name/443640
323=	10	http://biodiversity.org.au/afd.name/443747
323=	10	http://biodiversity.org.au/afd.name/444104
323=	10	http://biodiversity.org.au/afd.name/444274
323=	10	http://biodiversity.org.au/afd.name/445676
323=	10	http://biodiversity.org.au/afd.name/448071
