rank	count	SCIENTIFIC_NAME
324=	10	Rhynchoedura ornata
324=	10	Sarcophilus harrisii
324=	10	Scopiastes bicolor
324=	10	Scutiphora pedicellata
324=	10	Smaragdia (Smaragdista) rangiana
324=	10	Sminthopsis crassicaudata
324=	10	Sminthopsis griseoventer
324=	10	Sminthopsis macroura
324=	10	Sminthopsis youngsoni
324=	10	Spilostethus decoratus
324=	10	Spilostethus pacificus
324=	10	Stegonotus cucullatus
324=	10	Stigmatonotum geniculatum
324=	10	Strepera (Strepera) graculina
324=	10	Streptopelia (Spilopelia) chinensis chinensis
324=	10	Streptopelia (Spilopelia) chinensis tigrina
324=	10	Streptopelia (Spilopelia) senegalensis senegalensis
324=	10	Tasmanicola truganinae
324=	10	Thylogale billardierii
324=	10	Todiramphus (Lazulena) macleayii incinctus
324=	10	Todiramphus (Todiramphus) chloris colcloughi
324=	10	Todiramphus (Todiramphus) chloris pilbara
324=	10	Todiramphus (Todiramphus) chloris sordidus
324=	10	Todiramphus (Todiramphus) sanctus norfolkiensis
324=	10	Todiramphus (Todiramphus) sanctus sanctus
324=	10	Todiramphus (Todiramphus) sanctus vagans
324=	10	Trichoglossus chlorolepidotus
324=	10	Trichoglossus haematodus caeruleiceps
324=	10	Trichoglossus haematodus eyrei
324=	10	Turrubulana plana
324=	10	Tympanocryptis tetraporophora
324=	10	Tyto (Megastrix) novaehollandiae castanops
324=	10	Tyto (Megastrix) novaehollandiae galei
324=	10	Tyto (Megastrix) novaehollandiae kimberli
324=	10	Tyto (Megastrix) novaehollandiae melvillensis
324=	10	Tyto (Tyto) longimembris
324=	10	Underwoodisaurus milii
324=	10	Varanus acanthurus
324=	10	Vombatus ursinus
499=	9	Acanthagenys rufogularis
499=	9	Aerodramus terraereginae chillagoensis
499=	9	Agriopocoris chadwicki
499=	9	Amorbus rhombifer
499=	9	Amphibolurus muricatus
499=	9	Anax papuensis
499=	9	Anischys lundbecki
499=	9	Antechinomys laniger
499=	9	Aradus australis
499=	9	Arctocephalus forsteri
499=	9	Arocatus continctus
499=	9	Arocatus fastosus
499=	9	Arocatus rusticus
499=	9	Artamus (Angroyan) cyanopterus cyanopterus
499=	9	Australostolus monteithi
499=	9	Austroagrion watsoni
499=	9	Bembicium melanostomum
499=	9	Bistolida stolida crossei
499=	9	Blaena setosa
499=	9	Brachyrhynchus australis
499=	9	Brachyurophis australis
499=	9	Bubalus bubalis
499=	9	Burhinus (Burhinus) grallarius
499=	9	Bursa granularis
499=	9	Cabestana spengleri
499=	9	Callocephalon fimbriatum
499=	9	Calyptorhynchus (Zanda) funereus funereus
499=	9	Capra hircus
499=	9	Carenum elegans
499=	9	Carenum interruptum
499=	9	Caretta caretta
499=	9	Carlia triacantha
499=	9	Cephaloplatus (Cephaloplatus) nubifer
499=	9	Cerapachys aberrans
499=	9	Cerithium nesioticum
499=	9	Cerithium nodulosum
499=	9	Chelonoderus minor
499=	9	Chiastoplonia minuta
499=	9	Chicoreus (Rhizophorimurex) capucinus
499=	9	Chicoreus (Triplex) cervicornis
499=	9	Chicoreus (Triplex) trivialis
499=	9	Chilocoris bicolor
499=	9	Chilocoris centrostephoides
499=	9	Chilocoris neozealandicus
499=	9	Chilocoris obscurus
499=	9	Chinessa claudiae
499=	9	Chinessa iniqua
499=	9	Chlamydosaurus kingii
499=	9	Coleotichus costatus
499=	9	Columba (Columba) livia livia
499=	9	Conus achatinus
499=	9	Conus ammiralis ammiralis
499=	9	Conus betulinus
499=	9	Conus coffeae
499=	9	Conus coronatus
499=	9	Conus imperialis
499=	9	Conus magus
499=	9	Conus marmoreus
499=	9	Conus planorbis
499=	9	Conus striatus
499=	9	Conus varius
499=	9	Conus vexillum vexillum
499=	9	Corvus orru cecilae
499=	9	Cracticus torquatus leucopterus
499=	9	Crinia georgiana
499=	9	Crinia glauerti
499=	9	Crinia insignifera
499=	9	Crinia sloanei
499=	9	Crinia tasmaniensis
499=	9	Crocodylus porosus
499=	9	Ctenoneurus meridionalis
499=	9	Ctenophorus clayi
499=	9	Ctenophorus pictus
499=	9	Ctenotus alacer
499=	9	Ctenotus pantherinus
499=	9	Ctenotus robustus
499=	9	Ctenotus schomburgkii
499=	9	Cuspicona simplex
499=	9	Cyanoramphus cookii
499=	9	Cyclopsitta diophthalma macleayana
499=	9	Cyclopsitta diophthalma marshalli
499=	9	Cymatium (Monoplex) parthenopeum
499=	9	Cypraea tigris
499=	9	Dacelo (Dacelo) leachii leachii
499=	9	Dactylastele poupineli
499=	9	Daphoenositta (Neositta) chrysoptera
499=	9	Diaphyta fulvescens
499=	9	Dicrurus bracteatus
