rank	count	Collector
328=	1	R. Lindsay
328=	1	R. Marchant, S. Hinkley
328=	1	R. Menzres
328=	1	R. Metcahfe
328=	1	R. Monroe
328=	1	R. W. Taylor &#38; R. J. Bartell
328=	1	R. de Keyzer
328=	1	R. de Keyzor
328=	1	S. Evans
328=	1	S. G. Grimmett
328=	1	S.M. Postmus
328=	1	Signoret
328=	1	T. Brooks
328=	1	T. F. Houston &#38; B. P. Hanich
328=	1	T. G. Campbell, J. &#38; A. Harslett
328=	1	T. Gush
328=	1	T. Vinnicombe
328=	1	T.D. Semmens
328=	1	T.Weir &#38; A.Calder
328=	1	Taylor Feehan
328=	1	Tom Gush
328=	1	Upton &#38; Mound
328=	1	W. D. Dodd
328=	1	W. J. D. White
328=	1	W. J. Wanjura
328=	1	W. N. Lock
328=	1	W. Vestjens
328=	1	W. W. Froggatt
328=	1	Y. Risk

26555	TOTAL
