rank	count	HerbID
117=	33	NSW658198
117=	33	NSW666375
117=	33	PERTH5636590
126=	32	D0217498
126=	32	MC022
126=	32	Perth 05054567
126=	32	Perth 05055342
130=	31	NSW 395946
130=	31	NSW427475
130=	31	NSW666324
130=	31	PERTH05672023
130=	31	PERTH5635950
130=	31	PERTH5669863
130=	31	PERTH6987524
130=	31	PERTH6988709
130=	31	PERTH6990363
130=	31	Perth 05099811
130=	31	Perth 05671299
141=	30	D0217453
141=	30	MC011
141=	30	NSW658112
141=	30	NSW658411
141=	30	NSW666302
141=	30	PERTH6987745
141=	30	Perth 05055326
141=	30	Perth 05099749
141=	30	Perth05055431
150=	29	NSW 395952
150=	29	NSW 666270
150=	29	Perth 05670942
150=	29	Perth 7300255
154=	28	BS838-914
154=	28	NSW 427617
154=	28	NSW658199
154=	28	NSW666356
154=	28	NSW666360
154=	28	PERTH6988105
154=	28	PERTH6989586
154=	28	Perth 05670446
154=	28	Perth 05671841
163=	27	NSW658115
163=	27	NSW658410
163=	27	NSW666408
163=	27	PERTH5635829
163=	27	Perth 05671558
168=	26	D0217455
168=	26	MC007
168=	26	NSW658184
168=	26	NSW658191
168=	26	PERTH 05671736
168=	26	Perth 05670462
168=	26	Perth 7300433
168=	26	Perth 7300441
176=	25	D0217499
176=	25	NSW427683
176=	25	Perth 05120233
176=	25	Perth 05670802
176=	25	Perth 7250622
181=	24	3606
181=	24	NSW658165
181=	24	NSW658333
181=	24	NSW658387
181=	24	PERTH5636388
181=	24	PERTH6988482
181=	24	Perth 7300166
188=	23	MC018
188=	23	NSW 395930
188=	23	NSW658294
188=	23	NSW666333
188=	23	PERTH 05099927
188=	23	PERTH 05879248
188=	23	PERTH5669855, PERTH5610524
188=	23	PERTH6989926
188=	23	Perth 05099919
188=	23	Perth 05670292
188=	23	Perth 05670918
188=	23	Perth 05671604
200=	22	MC028
200=	22	NSW658313
200=	22	NSW658384
200=	22	PERTH5635942
200=	22	PERTH5636337
200=	22	PERTH6987664
200=	22	PERTH6988563
200=	22	Perth 05120144
200=	22	Perth 05670497
200=	22	Perth 7250797
200=	22	Perth05054567
211=	21	MC051
211=	21	MC052
211=	21	NSW658180
211=	21	PERTH6987516
211=	21	Perth 05056527
211=	21	Perth 05612616
217=	20	MC042
217=	20	NSW 395936
217=	20	NSW 395988
217=	20	NSW 395996
217=	20	NSW658178
217=	20	PERTH6987583
217=	20	PERTH6988784
217=	20	Perth 05056411
217=	20	Perth 05670780
217=	20	Perth 7250762
217=	20	Perth 7300557
228=	19	7192
228=	19	D0217494
228=	19	MC044
228=	19	MC066
228=	19	NSW658372
228=	19	NSW666278
228=	19	Perth 05672376
228=	19	Perth 07620209
228=	19	Perth 7250711
237=	18	MC071
237=	18	NSW 395931
237=	18	NSW 395993
237=	18	NSW427522
237=	18	NSW658291
237=	18	NSW658403
237=	18	NSW666264
237=	18	NSW666339
237=	18	NSW666418
237=	18	PERTH5635969
237=	18	PERTH6987001
237=	18	PERTH6987214
237=	18	PERTH6988970
237=	18	Perth 05670187
237=	18	Perth 05670691
237=	18	Perth 05671787
237=	18	Perth 07620020
237=	18	Perth 7250592
237=	18	Perth 7273266
256=	17	MC002
256=	17	MC025
256=	17	NSW658093
256=	17	PERTH5635772
256=	17	PERTH6988962
256=	17	PRTH05672171
256=	17	Perth 05671027
256=	17	Perth 05671159
264=	16	NSW658361
264=	16	NSW658405
264=	16	NSW666270
264=	16	NSW666416
264=	16	PERTH 05120527
264=	16	PERTH5636450
264=	16	PERTH6989810
264=	16	Perth 05120195
264=	16	Perth 05672295
273=	15	D0217505
273=	15	MC035
273=	15	NSW427671
273=	15	NSW658117
273=	15	NSW658134
273=	15	NSW658196
273=	15	NSW658251
273=	15	PERTH05671132
273=	15	PERTH6986927
273=	15	PERTH6987737
273=	15	PERTH6990401
273=	15	Perth 05095123
273=	15	Perth 05099692
273=	15	Perth 05671191
287=	14	MC061
287=	14	NSW658318
287=	14	PERTH 07620020
287=	14	PERTH6988350
287=	14	PERTH6988466
287=	14	Perth 05120640
287=	14	Perth 7273231
287=	14	Perth052272725
295=	13	D0217491
295=	13	NSW658232
295=	13	NSW658314
295=	13	NSW658315
295=	13	NSW658319
295=	13	NSW658341
295=	13	NSW658393
295=	13	NSW658396
295=	13	NSW666384
295=	13	PERTH 05055210
295=	13	PERTH 05879078
295=	13	PERTH6988415
295=	13	Perth 05055105
295=	13	Perth 05670241
295=	13	Perth 05671043
295=	13	Perth 05671361
295=	13	Perth 05672198
295=	13	Perth 7250517
313=	12	MC020
313=	12	MC087
313=	12	MC088
313=	12	NSW 395987
313=	12	NSW658121
313=	12	NSW658186
313=	12	NSW658334
313=	12	PERTH05671183
313=	12	PERTH05672368
313=	12	PERTH5635799
313=	12	PERTH5636019
313=	12	PERTH6987591
313=	12	PERTH6989055
313=	12	Perth 05095182
313=	12	Perth 05670527
313=	12	Perth 05670756
313=	12	Perth 05671310
313=	12	Perth 07620098
313=	12	Perth 7250460
313=	12	Perth05671884
333=	11	2096
333=	11	D0217456
333=	11	MC094
333=	11	NSW 395901
333=	11	NSW 395903
333=	11	NSW427513
333=	11	NSW658109
333=	11	NSW658152
333=	11	NSW658230
333=	11	NSW658407
333=	11	NSW666407
333=	11	NSW666417
333=	11	NSW666425
333=	11	PERTH5636604
333=	11	PERTH6987877
333=	11	PERTH6989756
333=	11	Perth 05120209
333=	11	Perth 05670950
333=	11	Perth 05671663
333=	11	Perth 05671779
333=	11	Perth 05671957
333=	11	Perth 7300379
355=	10	7209
355=	10	D0217471
355=	10	D0217506
355=	10	MC082
355=	10	MC096
355=	10	NSW 395985
355=	10	NSW658102
355=	10	NSW658125
355=	10	NSW658289
355=	10	NSW658326
355=	10	NSW658329
355=	10	NSW666294
355=	10	NSW666351
355=	10	NSW666423
355=	10	PERTH 05056446
355=	10	PERTH 05670497
355=	10	PERTH6987133
355=	10	PERTH6987656
355=	10	Perth 05056217
355=	10	Perth 05671132
355=	10	Perth 05671698
355=	10	Perth 05671868
377=	9	5915
377=	9	BS838-912
377=	9	BS838-933
377=	9	MC067
377=	9	MC070
377=	9	MC073
377=	9	NSW 396002
377=	9	NSW658127
377=	9	NSW658130
377=	9	NSW658141
377=	9	NSW658142
377=	9	NSW658189
377=	9	NSW658316
377=	9	NSW658380
377=	9	NSW666393
377=	9	NSW666411
377=	9	PERTH 05236592
377=	9	PERTH05671574
377=	9	PERTH5636116
377=	9	PERTH6987141
377=	9	PERTH6989020
377=	9	PERTH6990436
377=	9	Perth 05099854
377=	9	Perth 05120160
377=	9	Perth 05670144
377=	9	Perth 05670209
377=	9	Perth 05670543
377=	9	Perth 05670764
377=	9	Perth 05671256
377=	9	Perth 05671264
377=	9	Perth 05672163
377=	9	Perth 7272979
377=	9	Perth 7273444
377=	9	Perth05671299
377=	9	Was L14_H04
412=	8	6609
412=	8	7619928
412=	8	BS838-915
412=	8	NSW 395948
412=	8	NSW427617
412=	8	NSW658094
412=	8	NSW658114
412=	8	NSW658137
412=	8	NSW658147
412=	8	NSW658174
412=	8	NSW658281
412=	8	NSW658367
412=	8	NSW666389
412=	8	NSW666415
412=	8	PERTH 05671868
412=	8	PERTH05227259
412=	8	PERTH05227429
412=	8	PERTH6987567
412=	8	PERTH6988040
412=	8	PERTH6988164
412=	8	PERTH6989071
412=	8	PERTH6989470
412=	8	PERTH6989942
412=	8	PERTH6989977
412=	8	Perth 05056233
412=	8	Perth 05056446
412=	8	Perth 05099706
412=	8	Perth 05670535
412=	8	Perth 05671345
412=	8	Perth 05672112
412=	8	Perth 7273037
412=	8	Perth 7300743
444=	7	D0217507
444=	7	MC019
444=	7	MC021
444=	7	MC063
444=	7	NSW 395959
444=	7	NSW658101
444=	7	NSW658301
444=	7	NSW658331
444=	7	NSW658389
444=	7	NSW666316
444=	7	NSW666414
444=	7	PERTH 05099919
444=	7	PERTH 05120179
444=	7	PERTH 05227291
444=	7	PERTH5635977
444=	7	PERTH5635985
444=	7	PERTH6987117
444=	7	PERTH6988148
444=	7	PERTH6989489
444=	7	PERTH6990428
444=	7	Perth 05055237
444=	7	Perth 05055245
444=	7	Perth 05670195
444=	7	Perth 05670217
444=	7	Perth 05670888
444=	7	Perth 05671884
444=	7	Perth 05672066
444=	7	Perth 05672260
444=	7	Perth 07621833
444=	7	Perth 7300158
474=	6	BS838-922
474=	6	D0217497
474=	6	D0217711
474=	6	MC001
474=	6	MC037
474=	6	MC074
474=	6	NSW658120
474=	6	NSW658129
474=	6	NSW658149
474=	6	NSW658172
474=	6	NSW658282
474=	6	NSW666263
474=	6	NSW666311
474=	6	NSW666383
474=	6	PERTH 05120241
474=	6	PERTH 07620209
474=	6	PERTH 7272987
474=	6	PERTH05120241
474=	6	PERTH5610133
474=	6	PERTH5635780
474=	6	PERTH5635853
474=	6	PERTH5636035
474=	6	PERTH6949401
474=	6	PERTH6987036
474=	6	PERTH6987885
