rank	count	N_SPECIES
425=	1	rosasinensis
425=	1	roseicapillus
425=	1	rossi
425=	1	rotundus
425=	1	rubella
425=	1	rubida
425=	1	rubricauda
425=	1	rubrum
425=	1	rufina
425=	1	rufiventris
425=	1	rumicivorus
425=	1	rupestre
425=	1	rupicapra
425=	1	sacra
425=	1	salicifolia
425=	1	saligna
425=	1	saltatrix
425=	1	sancta
425=	1	sanguinolenta
425=	1	sapida
425=	1	saundersi
425=	1	schismatorhynchus
425=	1	schomburgkii
425=	1	scincoides
425=	1	scoparia
425=	1	scoparium
425=	1	scotti
425=	1	scrupulosa
425=	1	scutatus
425=	1	semifasciata
425=	1	semiglauca
425=	1	sempervirens
425=	1	sentosa
425=	1	sephalus
425=	1	serratifolia
425=	1	serratifrons
425=	1	serrulatus
425=	1	sessilis
425=	1	setosus
425=	1	sexlineatus
425=	1	sexstriatus
425=	1	shiressi
425=	1	signata
425=	1	signatus
425=	1	signifer
425=	1	skua
425=	1	solandri
425=	1	solocirostris
425=	1	sonchifolia
425=	1	soui
425=	1	sparteus
425=	1	spinifer
425=	1	spinosus
425=	1	spontaneum
425=	1	squamata
425=	1	stellaris
425=	1	stellatum
425=	1	stelligera
425=	1	strenua
425=	1	striata
425=	1	stricta
425=	1	strigoides
425=	1	strigosus
425=	1	stylosa
425=	1	suberosa
425=	1	subfasciatus
425=	1	suffruticosa
425=	1	summana
425=	1	sylvestris
425=	1	t-signatus
425=	1	tabuensis
425=	1	tadorna
425=	1	tala
425=	1	tanarius
425=	1	tapirina
425=	1	tasmanicus
425=	1	terebinthifolius
425=	1	ternata
425=	1	testaceus
425=	1	tetradactylus
425=	1	tetragona
425=	1	tetraphylla
425=	1	thunbergii
425=	1	timidus
425=	1	timon
425=	1	tinctorius
425=	1	tobacum
425=	1	toona
425=	1	torquatus
425=	1	torulosa
425=	1	tricuspidata
425=	1	trifurcata
425=	1	tripeta
425=	1	tristis
425=	1	trivirgata
425=	1	truncata
425=	1	trutta
425=	1	tuberculatus
425=	1	tuberosus
425=	1	turtur
425=	1	uncinatum
425=	1	unicornis
425=	1	unidentified
425=	1	urceolatus
425=	1	urinator
425=	1	utcheensis
425=	1	validus
425=	1	vanheurni
425=	1	variegatum
425=	1	venosa
425=	1	venustula
425=	1	venustus
425=	1	verdonii
425=	1	vesicaria
425=	1	vespertinus
425=	1	villosum
425=	1	virens
425=	1	virgata
425=	1	virginiae
425=	1	viridiflora
