rank	count	cc_attributionURL
123=	1	http://biodiversity.org.au/afd.taxon/03bde34e-a0cb-464e-a89d-f9550d72d0e4
123=	1	http://biodiversity.org.au/afd.taxon/03cefaed-069b-4819-9d9e-5ec7d394477d
123=	1	http://biodiversity.org.au/afd.taxon/0430c3e0-ddf2-461d-9db1-8c2ba5b636e5
123=	1	http://biodiversity.org.au/afd.taxon/0437b86c-ae27-4e4a-b97e-c2d7431f71e8
123=	1	http://biodiversity.org.au/afd.taxon/04587aee-f28b-4cf4-a4a0-8a5de7d87537
123=	1	http://biodiversity.org.au/afd.taxon/047e3ade-1906-41a0-b003-257906ff5128
123=	1	http://biodiversity.org.au/afd.taxon/049d456b-6923-4f00-b497-07fdfa45998a
123=	1	http://biodiversity.org.au/afd.taxon/04c782b4-1563-42c9-8a00-e40edc3bc3e9
123=	1	http://biodiversity.org.au/afd.taxon/04ce5326-05a5-41b5-b1da-0bfc63ab6bf1
123=	1	http://biodiversity.org.au/afd.taxon/04e24109-f77a-4367-b9f3-b7912b1cbd15
123=	1	http://biodiversity.org.au/afd.taxon/04e587d8-e79e-4a29-a8de-17041e8e0ac1
123=	1	http://biodiversity.org.au/afd.taxon/050dceba-4312-4ad7-bbed-0a236d9cc0ef
123=	1	http://biodiversity.org.au/afd.taxon/05201829-b89d-4bb0-b5a4-0fc36a1dfd7c
123=	1	http://biodiversity.org.au/afd.taxon/054f3cfc-23ef-4f81-b5a2-92e8f4e46f04
123=	1	http://biodiversity.org.au/afd.taxon/0573e9e2-93b6-4449-b6dd-6881de072541
123=	1	http://biodiversity.org.au/afd.taxon/0583f40f-437b-4ad3-91a1-36fd0e1ff911
123=	1	http://biodiversity.org.au/afd.taxon/05a7664b-c8e0-4603-b9b5-7eaa90203c7c
123=	1	http://biodiversity.org.au/afd.taxon/05bab01b-0de2-49ff-b0ed-4bc079e9efe0
123=	1	http://biodiversity.org.au/afd.taxon/05e62974-f1dd-4d4b-92a2-a0952af9c0c6
123=	1	http://biodiversity.org.au/afd.taxon/061db921-8f82-48c8-b7b7-fe24c5893e05
123=	1	http://biodiversity.org.au/afd.taxon/06636baf-7f65-4aa1-9d76-45351ec80f8b
123=	1	http://biodiversity.org.au/afd.taxon/068c2c97-8c87-425a-bf12-37cd28d36c22
123=	1	http://biodiversity.org.au/afd.taxon/06927742-6524-45a8-89d4-fa5861ef2e1c
123=	1	http://biodiversity.org.au/afd.taxon/069d7358-89d1-4ffb-aa8b-b834bc6d5c56
123=	1	http://biodiversity.org.au/afd.taxon/06d4fe08-a39a-4a2e-bc3b-e22c129b63c2
123=	1	http://biodiversity.org.au/afd.taxon/06d9fcb3-0fcb-4ab3-bbe0-2715148457a9
123=	1	http://biodiversity.org.au/afd.taxon/06f52502-2690-447d-90be-af4497aa5243
123=	1	http://biodiversity.org.au/afd.taxon/0710fd12-8871-45f1-b302-9bcf4cb6b514
123=	1	http://biodiversity.org.au/afd.taxon/074222a9-fa4c-46e2-a516-3589febf242b
123=	1	http://biodiversity.org.au/afd.taxon/074cdee6-c891-44f0-8c39-50dba9d9c568
123=	1	http://biodiversity.org.au/afd.taxon/075f8098-8d3e-4ca5-aca8-a37e178ff660
123=	1	http://biodiversity.org.au/afd.taxon/07986578-f25e-4055-8b3b-71c6f480a87f
123=	1	http://biodiversity.org.au/afd.taxon/07e2864b-a941-4979-a89c-e9340f9d8904
